"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry11","26","stt:t2542","gene","http://www.kegg.jp/dbget-bin/www_bget?stt:t2542",NA,"rn:R00348",NA,752,440,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry12","27","stt:t3642","gene","http://www.kegg.jp/dbget-bin/www_bget?stt:t3642",NA,"rn:R00483",NA,647,308,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry13","28","stt:t2195","gene","http://www.kegg.jp/dbget-bin/www_bget?stt:t2195",NA,"rn:R00578",NA,647,273,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry16","31","stt:t1173 / stt:t2042 / stt:t3018","gene","http://www.kegg.jp/dbget-bin/www_bget?stt:t1173+stt:t2042+stt:t3018",NA,"rn:R00485",NA,647,363,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry18","33","stt:t4560","gene","http://www.kegg.jp/dbget-bin/www_bget?stt:t4560",NA,"rn:R00491",NA,552,455,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry21","41","stt:t0269","gene","http://www.kegg.jp/dbget-bin/www_bget?stt:t0269",NA,"rn:R00357",NA,608,507,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry22","42","stt:t1936","gene","http://www.kegg.jp/dbget-bin/www_bget?stt:t1936",NA,"rn:R00355",NA,608,528,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry26","48","stt:t3208","gene","http://www.kegg.jp/dbget-bin/www_bget?stt:t3208",NA,"rn:R01954",NA,415,348,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry27","49","stt:t4417","gene","http://www.kegg.jp/dbget-bin/www_bget?stt:t4417",NA,"rn:R01135",NA,358,348,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry28","50","stt:t4377","gene","http://www.kegg.jp/dbget-bin/www_bget?stt:t4377",NA,"rn:R00490",NA,284,442,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry29","51","stt:t3501","gene","http://www.kegg.jp/dbget-bin/www_bget?stt:t3501",NA,"rn:R01086",NA,416,442,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry30","52","stt:t1688","gene","http://www.kegg.jp/dbget-bin/www_bget?stt:t1688",NA,"rn:R01083",NA,359,442,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry33","56","stt:t0533","gene","http://www.kegg.jp/dbget-bin/www_bget?stt:t0533",NA,"rn:R00258",NA,55,426,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
