"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry12","58","amad:I636_13940","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_13940",NA,"rn:R01025",NA,149,464,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry13","60","amad:I636_13935","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_13935",NA,"rn:R02565 rn:R02566",NA,162,526,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry14","61","amad:I636_10860","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_10860",NA,"rn:R01514",NA,292,186,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry19","66","amad:I636_10275","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_10275",NA,"rn:R00588",NA,561,381,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry20","67","amad:I636_10275","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_10275",NA,"rn:R00585",NA,258,301,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry24","71","amad:I636_19160","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_19160",NA,"rn:R01388",NA,139,182,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry29","76","amad:I636_03655 / amad:I636_14820","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_03655+amad:I636_14820",NA,"rn:R00480",NA,388,931,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry31","78","amad:I636_10705","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_10705",NA,"rn:R04173",NA,532,194,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry34","81","amad:I636_13010","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_13010",NA,"rn:R00582",NA,595,218,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry35","82","amad:I636_12980","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_12980",NA,"rn:R00945",NA,591,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry36","83","amad:I636_16420 / amad:I636_19090","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_16420+amad:I636_19090",NA,"rn:R00996",NA,540,750,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry40","87","amad:I636_14810","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_14810",NA,"rn:R01466",NA,598,785,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry42","89","amad:I636_00310","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_00310",NA,"rn:R01465",NA,725,722,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry45","92","amad:I636_00305","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_00305",NA,"rn:R00371",NA,661,679,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry46","93","amad:I636_07095 / amad:I636_12285","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_07095+amad:I636_12285",NA,"rn:R02291",NA,526,931,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry47","95","amad:I636_10205","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_10205",NA,"rn:R00220",NA,689,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry51","99","amad:I636_14815","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_14815",NA,"rn:R01771",NA,598,843,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry55","103","amad:I636_14820","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_14820",NA,"rn:R01773 rn:R01775",NA,598,899,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry63","113","amad:I636_06025 / amad:I636_14395","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_06025+amad:I636_14395",NA,"rn:R03815",NA,1019,505,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry65","116","amad:I636_16420 / amad:I636_19090","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_16420+amad:I636_19090",NA,"rn:R00220",NA,689,305,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry113","173","amad:I636_12830","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_12830",NA,"rn:R01800",NA,357,327,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry116","177","amad:I636_07410 / amad:I636_07415","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_07410+amad:I636_07415",NA,"rn:R02722",NA,672,337,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry118","179","amad:I636_10275","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_10275",NA,"rn:R00588",NA,258,280,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry122","183","amad:I636_10275","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_10275",NA,"rn:R00372",NA,713,495,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry127","191","amad:I636_15055","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_15055",NA,"rn:R08572",NA,195,169,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry128","192","amad:I636_02000","gene","http://www.kegg.jp/dbget-bin/www_bget?amad:I636_02000",NA,"rn:R01518",NA,259,125,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
