"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry10","56","fpz:LA55_1972","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_1972",NA,"rn:R06977",NA,663,930,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry17","64","fpz:LA55_102","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_102",NA,"rn:R02821",NA,247,537,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry23","70","fpz:LA55_1411","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_1411",NA,"rn:R01513",NA,403,193,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry26","73","fpz:LA55_1467","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_1467",NA,"rn:R01290",NA,460,326,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry29","76","fpz:LA55_1971 / fpz:LA55_2030 / fpz:LA55_529","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_1971+fpz:LA55_2030+fpz:LA55_529",NA,"rn:R00480",NA,388,931,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry31","78","fpz:LA55_907","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_907",NA,"rn:R04173",NA,532,194,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry34","81","fpz:LA55_708","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_708",NA,"rn:R00582",NA,595,218,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry35","82","fpz:LA55_1420","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_1420",NA,"rn:R00945",NA,591,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry37","84","fpz:LA55_1335","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_1335",NA,"rn:R00751",NA,573,703,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry40","87","fpz:LA55_531 / fpz:LA55_777","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_531+fpz:LA55_777",NA,"rn:R01466",NA,598,785,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry42","89","fpz:LA55_636","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_636",NA,"rn:R01465",NA,725,722,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry45","92","fpz:LA55_637","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_637",NA,"rn:R00371",NA,661,679,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry46","93","fpz:LA55_528","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_528",NA,"rn:R02291",NA,526,931,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry47","95","fpz:LA55_717","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_717",NA,"rn:R00220",NA,689,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry51","99","fpz:LA55_530","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_530",NA,"rn:R01771",NA,598,843,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry53","101","fpz:LA55_505 / fpz:LA55_506","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_505+fpz:LA55_506",NA,"rn:R03425",NA,777,537,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry55","103","fpz:LA55_529","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_529",NA,"rn:R01773 rn:R01775",NA,598,899,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry61","110","fpz:LA55_503","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_503",NA,"rn:R04125",NA,884,484,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry63","113","fpz:LA55_1723","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_1723",NA,"rn:R03815",NA,1019,505,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry76","128","fpz:LA55_1335","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_1335",NA,"rn:R06171",NA,661,604,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry113","173","fpz:LA55_357","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_357",NA,"rn:R01800",NA,357,327,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry116","177","fpz:LA55_2039 / fpz:LA55_2041","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_2039+fpz:LA55_2041",NA,"rn:R02722",NA,672,337,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry119","180","fpz:LA55_1467","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_1467",NA,"rn:R00891",NA,512,358,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry124","186","fpz:LA55_1973","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_1973",NA,"rn:R07650",NA,735,885,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry134","202","fpz:LA55_673","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_673",NA,"rn:R01518",NA,259,146,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry135","203","fpz:LA55_1344 / fpz:LA55_504","gene","http://www.kegg.jp/dbget-bin/www_bget?fpz:LA55_1344+fpz:LA55_504",NA,NA,NA,953,493,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
