"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","47","rno:303306","gene","http://www.kegg.jp/dbget-bin/www_bget?rno:303306",NA,"rn:R00589",NA,688,222,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry12","58","rno:290551","gene","http://www.kegg.jp/dbget-bin/www_bget?rno:290551",NA,"rn:R01025",NA,149,464,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry13","60","rno:291450","gene","http://www.kegg.jp/dbget-bin/www_bget?rno:291450",NA,"rn:R02565 rn:R02566",NA,162,526,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry17","64","rno:81508","gene","http://www.kegg.jp/dbget-bin/www_bget?rno:81508",NA,"rn:R02821",NA,247,537,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry19","66","rno:24792","gene","http://www.kegg.jp/dbget-bin/www_bget?rno:24792",NA,"rn:R00588",NA,561,381,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry20","67","rno:24792","gene","http://www.kegg.jp/dbget-bin/www_bget?rno:24792",NA,"rn:R00585",NA,258,301,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry22","69","rno:25257","gene","http://www.kegg.jp/dbget-bin/www_bget?rno:25257",NA,"rn:R01883",NA,435,462,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry23","70","rno:58835","gene","http://www.kegg.jp/dbget-bin/www_bget?rno:58835",NA,"rn:R01513",NA,403,193,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry25","72","rno:245961","gene","http://www.kegg.jp/dbget-bin/www_bget?rno:245961",NA,"rn:R01565",NA,335,547,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry26","73","rno:24250","gene","http://www.kegg.jp/dbget-bin/www_bget?rno:24250",NA,"rn:R01290",NA,460,326,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry27","74","rno:103691744 / rno:24962","gene","http://www.kegg.jp/dbget-bin/www_bget?rno:103691744+rno:24962",NA,"rn:R01001",NA,460,390,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry28","75","rno:81660","gene","http://www.kegg.jp/dbget-bin/www_bget?rno:81660",NA,"rn:R00565",NA,519,460,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry31","78","rno:293820","gene","http://www.kegg.jp/dbget-bin/www_bget?rno:293820",NA,"rn:R04173",NA,532,194,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry32","79","rno:303272","gene","http://www.kegg.jp/dbget-bin/www_bget?rno:303272",NA,"rn:R00610",NA,489,526,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry33","80","rno:114123","gene","http://www.kegg.jp/dbget-bin/www_bget?rno:114123",NA,"rn:R00611",NA,489,547,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry34","81","rno:304429","gene","http://www.kegg.jp/dbget-bin/www_bget?rno:304429",NA,"rn:R00582",NA,595,218,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry35","82","rno:287379 / rno:299857","gene","http://www.kegg.jp/dbget-bin/www_bget?rno:287379+rno:299857",NA,"rn:R00945",NA,591,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
