"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry4","60","bgo:BM43_5806","gene","http://www.kegg.jp/dbget-bin/www_bget?bgo:BM43_5806",NA,"rn:R07409",NA,99,464,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry8","64","bgo:BM43_6914","gene","http://www.kegg.jp/dbget-bin/www_bget?bgo:BM43_6914",NA,"rn:R06979",NA,915,931,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry12","68","bgo:BM43_1463 / bgo:BM43_4169 / bgo:BM43_4364","gene","http://www.kegg.jp/dbget-bin/www_bget?bgo:BM43_1463+bgo:BM43_4169+bgo:BM43_4364",NA,"rn:R01025",NA,149,464,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry13","70","bgo:BM43_4058 / bgo:BM43_4365 / bgo:BM43_5571","gene","http://www.kegg.jp/dbget-bin/www_bget?bgo:BM43_4058+bgo:BM43_4365+bgo:BM43_5571",NA,"rn:R02565 rn:R02566",NA,162,526,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry23","80","bgo:BM43_1357 / bgo:BM43_5638 / bgo:BM43_6421","gene","http://www.kegg.jp/dbget-bin/www_bget?bgo:BM43_1357+bgo:BM43_5638+bgo:BM43_6421",NA,"rn:R01513",NA,403,193,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry25","82","bgo:BM43_4044","gene","http://www.kegg.jp/dbget-bin/www_bget?bgo:BM43_4044",NA,"rn:R01565",NA,335,547,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry29","86","bgo:BM43_100","gene","http://www.kegg.jp/dbget-bin/www_bget?bgo:BM43_100",NA,"rn:R00480",NA,388,931,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry31","88","bgo:BM43_2336 / bgo:BM43_2810","gene","http://www.kegg.jp/dbget-bin/www_bget?bgo:BM43_2336+bgo:BM43_2810",NA,"rn:R04173",NA,532,194,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry32","89","bgo:BM43_4051 / bgo:BM43_4052 / bgo:BM43_4053 / bgo:BM43_4054 / bgo:BM43_4310 / bgo:BM43_4311 / bgo:BM43_4312 / bgo:BM43_4313 / bgo:BM43_5269","gene","http://www.kegg.jp/dbget-bin/www_bget?bgo:BM43_4051+bgo:BM43_4052+bgo:BM43_4053+bgo:BM43_4054+bgo:BM43_4310+bgo:BM43_4311+bgo:BM43_4312+bgo:BM43_4313+bgo:BM43_5269",NA,"rn:R00610",NA,489,526,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry34","91","bgo:BM43_3575","gene","http://www.kegg.jp/dbget-bin/www_bget?bgo:BM43_3575",NA,"rn:R00582",NA,595,218,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry35","92","bgo:BM43_2120 / bgo:BM43_7243","gene","http://www.kegg.jp/dbget-bin/www_bget?bgo:BM43_2120+bgo:BM43_7243",NA,"rn:R00945",NA,591,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry36","93","bgo:BM43_3741 / bgo:BM43_4621 / bgo:BM43_6207 / bgo:BM43_940","gene","http://www.kegg.jp/dbget-bin/www_bget?bgo:BM43_3741+bgo:BM43_4621+bgo:BM43_6207+bgo:BM43_940",NA,"rn:R00996",NA,540,750,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry37","94","bgo:BM43_1206 / bgo:BM43_2873 / bgo:BM43_4866 / bgo:BM43_5541 / bgo:BM43_6580","gene","http://www.kegg.jp/dbget-bin/www_bget?bgo:BM43_1206+bgo:BM43_2873+bgo:BM43_4866+bgo:BM43_5541+bgo:BM43_6580",NA,"rn:R00751",NA,573,703,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry40","97","bgo:BM43_3641 / bgo:BM43_3986","gene","http://www.kegg.jp/dbget-bin/www_bget?bgo:BM43_3641+bgo:BM43_3986",NA,"rn:R01466",NA,598,785,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry42","99","bgo:BM43_6736","gene","http://www.kegg.jp/dbget-bin/www_bget?bgo:BM43_6736",NA,"rn:R01465",NA,725,722,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry45","102","bgo:BM43_6735","gene","http://www.kegg.jp/dbget-bin/www_bget?bgo:BM43_6735",NA,"rn:R00371",NA,661,679,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry46","103","bgo:BM43_5535","gene","http://www.kegg.jp/dbget-bin/www_bget?bgo:BM43_5535",NA,"rn:R02291",NA,526,931,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry47","105","bgo:BM43_1509 / bgo:BM43_4309","gene","http://www.kegg.jp/dbget-bin/www_bget?bgo:BM43_1509+bgo:BM43_4309",NA,"rn:R00220",NA,689,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry51","109","bgo:BM43_5816","gene","http://www.kegg.jp/dbget-bin/www_bget?bgo:BM43_5816",NA,"rn:R01771",NA,598,843,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry53","111","bgo:BM43_1511","gene","http://www.kegg.jp/dbget-bin/www_bget?bgo:BM43_1511",NA,"rn:R03425",NA,777,537,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
