"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry3","49","nre:BES08_28565","gene","http://www.kegg.jp/dbget-bin/www_bget?nre:BES08_28565",NA,"rn:R08050",NA,1023,930,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry8","54","nre:BES08_28570","gene","http://www.kegg.jp/dbget-bin/www_bget?nre:BES08_28570",NA,"rn:R06979",NA,915,931,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry9","55","nre:BES08_28580","gene","http://www.kegg.jp/dbget-bin/www_bget?nre:BES08_28580",NA,"rn:R06978",NA,792,931,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry10","56","nre:BES08_28575","gene","http://www.kegg.jp/dbget-bin/www_bget?nre:BES08_28575",NA,"rn:R06977",NA,663,930,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry12","58","nre:BES08_00235 / nre:BES08_24765","gene","http://www.kegg.jp/dbget-bin/www_bget?nre:BES08_00235+nre:BES08_24765",NA,"rn:R01025",NA,149,464,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry14","61","nre:BES08_00260","gene","http://www.kegg.jp/dbget-bin/www_bget?nre:BES08_00260",NA,"rn:R01514",NA,292,186,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry23","70","nre:BES08_01340 / nre:BES08_20510","gene","http://www.kegg.jp/dbget-bin/www_bget?nre:BES08_01340+nre:BES08_20510",NA,"rn:R01513",NA,403,193,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry29","76","nre:BES08_16865 / nre:BES08_28560","gene","http://www.kegg.jp/dbget-bin/www_bget?nre:BES08_16865+nre:BES08_28560",NA,"rn:R00480",NA,388,931,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry31","78","nre:BES08_01335","gene","http://www.kegg.jp/dbget-bin/www_bget?nre:BES08_01335",NA,"rn:R04173",NA,532,194,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry32","79","nre:BES08_06415","gene","http://www.kegg.jp/dbget-bin/www_bget?nre:BES08_06415",NA,"rn:R00610",NA,489,526,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry34","81","nre:BES08_04355","gene","http://www.kegg.jp/dbget-bin/www_bget?nre:BES08_04355",NA,"rn:R00582",NA,595,218,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry35","82","nre:BES08_03480","gene","http://www.kegg.jp/dbget-bin/www_bget?nre:BES08_03480",NA,"rn:R00945",NA,591,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry36","83","nre:BES08_02020 / nre:BES08_16380","gene","http://www.kegg.jp/dbget-bin/www_bget?nre:BES08_02020+nre:BES08_16380",NA,"rn:R00996",NA,540,750,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry37","84","nre:BES08_14905","gene","http://www.kegg.jp/dbget-bin/www_bget?nre:BES08_14905",NA,"rn:R00751",NA,573,703,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry40","87","nre:BES08_15725","gene","http://www.kegg.jp/dbget-bin/www_bget?nre:BES08_15725",NA,"rn:R01466",NA,598,785,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry46","93","nre:BES08_01740 / nre:BES08_11225","gene","http://www.kegg.jp/dbget-bin/www_bget?nre:BES08_01740+nre:BES08_11225",NA,"rn:R02291",NA,526,931,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry47","95","nre:BES08_22610","gene","http://www.kegg.jp/dbget-bin/www_bget?nre:BES08_22610",NA,"rn:R00220",NA,689,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
