"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry23","80","sage:EN72_08525","gene","http://www.kegg.jp/dbget-bin/www_bget?sage:EN72_08525",NA,"rn:R01513",NA,403,193,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry29","86","sage:EN72_02060","gene","http://www.kegg.jp/dbget-bin/www_bget?sage:EN72_02060",NA,"rn:R00480",NA,388,931,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry31","88","sage:EN72_08535","gene","http://www.kegg.jp/dbget-bin/www_bget?sage:EN72_08535",NA,"rn:R04173",NA,532,194,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry34","91","sage:EN72_03545","gene","http://www.kegg.jp/dbget-bin/www_bget?sage:EN72_03545",NA,"rn:R00582",NA,595,218,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry35","92","sage:EN72_05985","gene","http://www.kegg.jp/dbget-bin/www_bget?sage:EN72_05985",NA,"rn:R00945",NA,591,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry37","94","sage:EN72_09530","gene","http://www.kegg.jp/dbget-bin/www_bget?sage:EN72_09530",NA,"rn:R00751",NA,573,703,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry40","97","sage:EN72_00455","gene","http://www.kegg.jp/dbget-bin/www_bget?sage:EN72_00455",NA,"rn:R01466",NA,598,785,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry46","103","sage:EN72_05875","gene","http://www.kegg.jp/dbget-bin/www_bget?sage:EN72_05875",NA,"rn:R02291",NA,526,931,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry47","105","sage:EN72_11325 / sage:EN72_11330","gene","http://www.kegg.jp/dbget-bin/www_bget?sage:EN72_11325+sage:EN72_11330",NA,"rn:R00220",NA,689,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry51","109","sage:EN72_06240","gene","http://www.kegg.jp/dbget-bin/www_bget?sage:EN72_06240",NA,"rn:R01771",NA,598,843,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry55","113","sage:EN72_06245","gene","http://www.kegg.jp/dbget-bin/www_bget?sage:EN72_06245",NA,"rn:R01773 rn:R01775",NA,598,899,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry63","123","sage:EN72_05140","gene","http://www.kegg.jp/dbget-bin/www_bget?sage:EN72_05140",NA,"rn:R03815",NA,1019,505,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry76","138","sage:EN72_09530","gene","http://www.kegg.jp/dbget-bin/www_bget?sage:EN72_09530",NA,"rn:R06171",NA,661,604,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry127","216","sage:EN72_04705","gene","http://www.kegg.jp/dbget-bin/www_bget?sage:EN72_04705",NA,"rn:R08572",NA,195,169,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry128","217","sage:EN72_04560","gene","http://www.kegg.jp/dbget-bin/www_bget?sage:EN72_04560",NA,"rn:R01518",NA,259,125,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
