"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry3","49","mabb:MASS_2187","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_2187",NA,"rn:R08050",NA,1023,930,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry8","54","mabb:MASS_2188 / mabb:MASS_2547","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_2188+mabb:MASS_2547",NA,"rn:R06979",NA,915,931,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry9","55","mabb:MASS_2190","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_2190",NA,"rn:R06978",NA,792,931,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry10","56","mabb:MASS_1777 / mabb:MASS_2189","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_1777+mabb:MASS_2189",NA,"rn:R06977",NA,663,930,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry13","60","mabb:MASS_3266 / mabb:MASS_4238","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_3266+mabb:MASS_4238",NA,"rn:R02565 rn:R02566",NA,162,526,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry23","70","mabb:MASS_3249","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_3249",NA,"rn:R01513",NA,403,193,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry26","73","mabb:MASS_1193","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_1193",NA,"rn:R01290",NA,460,326,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry27","74","mabb:MASS_3232","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_3232",NA,"rn:R01001",NA,460,390,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry29","76","mabb:MASS_0338","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_0338",NA,"rn:R00480",NA,388,931,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry31","78","mabb:MASS_0911","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_0911",NA,"rn:R04173",NA,532,194,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry34","81","mabb:MASS_3329","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_3329",NA,"rn:R00582",NA,595,218,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry35","82","mabb:MASS_1234","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_1234",NA,"rn:R00945",NA,591,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry36","83","mabb:MASS_1197 / mabb:MASS_2639","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_1197+mabb:MASS_2639",NA,"rn:R00996",NA,540,750,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry40","87","mabb:MASS_1428","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_1428",NA,"rn:R01466",NA,598,785,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry46","93","mabb:MASS_0339","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_0339",NA,"rn:R02291",NA,526,931,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry51","99","mabb:MASS_1429","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_1429",NA,"rn:R01771",NA,598,843,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry53","101","mabb:MASS_2327","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_2327",NA,"rn:R03425",NA,777,537,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry55","103","mabb:MASS_1427","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_1427",NA,"rn:R01773 rn:R01775",NA,598,899,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry59","107","mabb:MASS_4239","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_4239",NA,"rn:R02529",NA,867,704,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry61","110","mabb:MASS_1937","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_1937",NA,"rn:R04125",NA,884,484,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry63","113","mabb:MASS_3668 / mabb:MASS_4126","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_3668+mabb:MASS_4126",NA,"rn:R03815",NA,1019,505,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry65","116","mabb:MASS_1197 / mabb:MASS_2639","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_1197+mabb:MASS_2639",NA,"rn:R00220",NA,689,305,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry113","173","mabb:MASS_0607","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_0607",NA,"rn:R01800",NA,357,327,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry116","177","mabb:MASS_2600 / mabb:MASS_2601","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_2600+mabb:MASS_2601",NA,"rn:R02722",NA,672,337,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry119","180","mabb:MASS_1193","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_1193",NA,"rn:R00891",NA,512,358,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry124","186","mabb:MASS_1778","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_1778",NA,"rn:R07650",NA,735,885,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry127","191","mabb:MASS_1944","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_1944",NA,"rn:R08572",NA,195,169,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry128","192","mabb:MASS_4060","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_4060",NA,"rn:R01518",NA,259,125,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry135","203","mabb:MASS_2322","gene","http://www.kegg.jp/dbget-bin/www_bget?mabb:MASS_2322",NA,NA,NA,953,493,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
