"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry14","61","arp:NIES39_C02450","gene","http://www.kegg.jp/dbget-bin/www_bget?arp:NIES39_C02450",NA,"rn:R01514",NA,292,186,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry23","70","arp:NIES39_K02580","gene","http://www.kegg.jp/dbget-bin/www_bget?arp:NIES39_K02580",NA,"rn:R01513",NA,403,193,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry29","76","arp:NIES39_H00140","gene","http://www.kegg.jp/dbget-bin/www_bget?arp:NIES39_H00140",NA,"rn:R00480",NA,388,931,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry34","81","arp:NIES39_C00710","gene","http://www.kegg.jp/dbget-bin/www_bget?arp:NIES39_C00710",NA,"rn:R00582",NA,595,218,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry35","82","arp:NIES39_L06330","gene","http://www.kegg.jp/dbget-bin/www_bget?arp:NIES39_L06330",NA,"rn:R00945",NA,591,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry36","83","arp:NIES39_L05660","gene","http://www.kegg.jp/dbget-bin/www_bget?arp:NIES39_L05660",NA,"rn:R00996",NA,540,750,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry40","87","arp:NIES39_A06570 / arp:NIES39_D00300","gene","http://www.kegg.jp/dbget-bin/www_bget?arp:NIES39_A06570+arp:NIES39_D00300",NA,"rn:R01466",NA,598,785,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry46","93","arp:NIES39_L00080","gene","http://www.kegg.jp/dbget-bin/www_bget?arp:NIES39_L00080",NA,"rn:R02291",NA,526,931,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry51","99","arp:NIES39_Q00490","gene","http://www.kegg.jp/dbget-bin/www_bget?arp:NIES39_Q00490",NA,"rn:R01771",NA,598,843,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry53","101","arp:NIES39_A03590","gene","http://www.kegg.jp/dbget-bin/www_bget?arp:NIES39_A03590",NA,"rn:R03425",NA,777,537,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry55","103","arp:NIES39_D00010","gene","http://www.kegg.jp/dbget-bin/www_bget?arp:NIES39_D00010",NA,"rn:R01773 rn:R01775",NA,598,899,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry61","110","arp:NIES39_R00160","gene","http://www.kegg.jp/dbget-bin/www_bget?arp:NIES39_R00160",NA,"rn:R04125",NA,884,484,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry63","113","arp:NIES39_C03380","gene","http://www.kegg.jp/dbget-bin/www_bget?arp:NIES39_C03380",NA,"rn:R03815",NA,1019,505,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry65","116","arp:NIES39_L05660","gene","http://www.kegg.jp/dbget-bin/www_bget?arp:NIES39_L05660",NA,"rn:R00220",NA,689,305,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry116","177","arp:NIES39_F00460 / arp:NIES39_O06170","gene","http://www.kegg.jp/dbget-bin/www_bget?arp:NIES39_F00460+arp:NIES39_O06170",NA,"rn:R02722",NA,672,337,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry134","202","arp:NIES39_B01040","gene","http://www.kegg.jp/dbget-bin/www_bget?arp:NIES39_B01040",NA,"rn:R01518",NA,259,146,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry135","203","arp:NIES39_D05880","gene","http://www.kegg.jp/dbget-bin/www_bget?arp:NIES39_D05880",NA,NA,NA,953,493,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
