"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry23","80","fnc:HMPREF0946_01350","gene","http://www.kegg.jp/dbget-bin/www_bget?fnc:HMPREF0946_01350",NA,"rn:R01513",NA,403,193,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry24","81","fnc:HMPREF0946_00432","gene","http://www.kegg.jp/dbget-bin/www_bget?fnc:HMPREF0946_00432",NA,"rn:R01388",NA,139,182,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry36","93","fnc:HMPREF0946_01415","gene","http://www.kegg.jp/dbget-bin/www_bget?fnc:HMPREF0946_01415",NA,"rn:R00996",NA,540,750,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry37","94","fnc:HMPREF0946_00295","gene","http://www.kegg.jp/dbget-bin/www_bget?fnc:HMPREF0946_00295",NA,"rn:R00751",NA,573,703,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry47","105","fnc:HMPREF0946_00557","gene","http://www.kegg.jp/dbget-bin/www_bget?fnc:HMPREF0946_00557",NA,"rn:R00220",NA,689,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry51","109","fnc:HMPREF0946_00393","gene","http://www.kegg.jp/dbget-bin/www_bget?fnc:HMPREF0946_00393",NA,"rn:R01771",NA,598,843,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry65","126","fnc:HMPREF0946_01415","gene","http://www.kegg.jp/dbget-bin/www_bget?fnc:HMPREF0946_01415",NA,"rn:R00220",NA,689,305,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry76","138","fnc:HMPREF0946_00295","gene","http://www.kegg.jp/dbget-bin/www_bget?fnc:HMPREF0946_00295",NA,"rn:R06171",NA,661,604,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry113","195","fnc:HMPREF0946_00457","gene","http://www.kegg.jp/dbget-bin/www_bget?fnc:HMPREF0946_00457",NA,"rn:R01800",NA,357,327,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry128","217","fnc:HMPREF0946_00215","gene","http://www.kegg.jp/dbget-bin/www_bget?fnc:HMPREF0946_00215",NA,"rn:R01518",NA,259,125,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
