"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry13","70","vai:BU251_07915","gene","http://www.kegg.jp/dbget-bin/www_bget?vai:BU251_07915",NA,"rn:R02565 rn:R02566",NA,162,526,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry20","77","vai:BU251_01090","gene","http://www.kegg.jp/dbget-bin/www_bget?vai:BU251_01090",NA,"rn:R00585",NA,258,301,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry23","80","vai:BU251_01095","gene","http://www.kegg.jp/dbget-bin/www_bget?vai:BU251_01095",NA,"rn:R01513",NA,403,193,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry29","86","vai:BU251_04785","gene","http://www.kegg.jp/dbget-bin/www_bget?vai:BU251_04785",NA,"rn:R00480",NA,388,931,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry35","92","vai:BU251_07210","gene","http://www.kegg.jp/dbget-bin/www_bget?vai:BU251_07210",NA,"rn:R00945",NA,591,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry40","97","vai:BU251_04805","gene","http://www.kegg.jp/dbget-bin/www_bget?vai:BU251_04805",NA,"rn:R01466",NA,598,785,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry46","103","vai:BU251_05370","gene","http://www.kegg.jp/dbget-bin/www_bget?vai:BU251_05370",NA,"rn:R02291",NA,526,931,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry53","111","vai:BU251_07320 / vai:BU251_07325","gene","http://www.kegg.jp/dbget-bin/www_bget?vai:BU251_07320+vai:BU251_07325",NA,"rn:R03425",NA,777,537,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry55","113","vai:BU251_04810","gene","http://www.kegg.jp/dbget-bin/www_bget?vai:BU251_04810",NA,"rn:R01773 rn:R01775",NA,598,899,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry61","120","vai:BU251_07310","gene","http://www.kegg.jp/dbget-bin/www_bget?vai:BU251_07310",NA,"rn:R04125",NA,884,484,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry63","123","vai:BU251_03265","gene","http://www.kegg.jp/dbget-bin/www_bget?vai:BU251_03265",NA,"rn:R03815",NA,1019,505,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry116","199","vai:BU251_06015 / vai:BU251_06020 / vai:BU251_08145","gene","http://www.kegg.jp/dbget-bin/www_bget?vai:BU251_06015+vai:BU251_06020+vai:BU251_08145",NA,"rn:R02722",NA,672,337,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry134","227","vai:BU251_04795 / vai:BU251_06895","gene","http://www.kegg.jp/dbget-bin/www_bget?vai:BU251_04795+vai:BU251_06895",NA,"rn:R01518",NA,259,146,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
"entry135","228","vai:BU251_07315","gene","http://www.kegg.jp/dbget-bin/www_bget?vai:BU251_07315",NA,NA,NA,953,493,"rectangle",46,17,"#000000","#BFFFBF",1,"00260"
