"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry17","78","lcm:102354502 / lcm:102359484","gene","http://www.kegg.jp/dbget-bin/www_bget?lcm:102354502+lcm:102359484",NA,"rn:R07396",NA,492,1074,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry19","80","lcm:102364832","gene","http://www.kegg.jp/dbget-bin/www_bget?lcm:102364832",NA,"rn:R07364",NA,605,1190,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry20","81","lcm:102364832","gene","http://www.kegg.jp/dbget-bin/www_bget?lcm:102364832",NA,"rn:R07363",NA,649,1149,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry22","83","lcm:102348424","gene","http://www.kegg.jp/dbget-bin/www_bget?lcm:102348424",NA,"rn:R07392",NA,939,1190,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry23","84","lcm:102357187","gene","http://www.kegg.jp/dbget-bin/www_bget?lcm:102357187",NA,"rn:R04420",NA,993,1158,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry25","86","lcm:102349631 / lcm:102357593","gene","http://www.kegg.jp/dbget-bin/www_bget?lcm:102349631+lcm:102357593",NA,"rn:R01402",NA,1051,1053,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry28","89","lcm:102360390","gene","http://www.kegg.jp/dbget-bin/www_bget?lcm:102360390",NA,"rn:R01920",NA,939,955,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry29","90","lcm:102352098","gene","http://www.kegg.jp/dbget-bin/www_bget?lcm:102352098",NA,"rn:R00178",NA,797,966,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry32","94","lcm:102352387 / lcm:102355425 / lcm:102360189","gene","http://www.kegg.jp/dbget-bin/www_bget?lcm:102352387+lcm:102355425+lcm:102360189",NA,"rn:R01001",NA,515,541,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry34","96","lcm:102364567","gene","http://www.kegg.jp/dbget-bin/www_bget?lcm:102364567",NA,"rn:R01290",NA,452,772,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry35","97","lcm:102353512","gene","http://www.kegg.jp/dbget-bin/www_bget?lcm:102353512",NA,"rn:R00946",NA,492,896,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry36","98","lcm:102348380 / lcm:102366870","gene","http://www.kegg.jp/dbget-bin/www_bget?lcm:102348380+lcm:102366870",NA,"rn:R01286",NA,517,772,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry38","100","lcm:102351553","gene","http://www.kegg.jp/dbget-bin/www_bget?lcm:102351553",NA,"rn:R02821",NA,492,877,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry39","101","lcm:102346116 / lcm:102360744 / lcm:102361022","gene","http://www.kegg.jp/dbget-bin/www_bget?lcm:102346116+lcm:102360744+lcm:102361022",NA,"rn:R00177",NA,616,966,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry40","102","lcm:102347984 / lcm:102360084 / lcm:102366642","gene","http://www.kegg.jp/dbget-bin/www_bget?lcm:102347984+lcm:102360084+lcm:102366642",NA,"rn:R00192",NA,694,851,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry41","103","lcm:102358591 / lcm:102366896 / lcm:102367712","gene","http://www.kegg.jp/dbget-bin/www_bget?lcm:102358591+lcm:102366896+lcm:102367712",NA,"rn:R04858",NA,669,919,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry43","106","lcm:102345877 / lcm:102355982 / lcm:102367420","gene","http://www.kegg.jp/dbget-bin/www_bget?lcm:102345877+lcm:102355982+lcm:102367420",NA,"rn:R00648",NA,550,1117,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry44","107","lcm:102347529","gene","http://www.kegg.jp/dbget-bin/www_bget?lcm:102347529",NA,"rn:R00650",NA,542,877,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
