"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry23","84","dfi:AXF13_13070","gene","http://www.kegg.jp/dbget-bin/www_bget?dfi:AXF13_13070",NA,"rn:R04420",NA,993,1158,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry35","97","dfi:AXF13_05480","gene","http://www.kegg.jp/dbget-bin/www_bget?dfi:AXF13_05480",NA,"rn:R00946",NA,492,896,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry37","99","dfi:AXF13_14370","gene","http://www.kegg.jp/dbget-bin/www_bget?dfi:AXF13_14370",NA,"rn:R04405",NA,542,896,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry39","101","dfi:AXF13_14355","gene","http://www.kegg.jp/dbget-bin/www_bget?dfi:AXF13_14355",NA,"rn:R00177",NA,616,966,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry40","102","dfi:AXF13_13860","gene","http://www.kegg.jp/dbget-bin/www_bget?dfi:AXF13_13860",NA,"rn:R00192",NA,694,851,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry41","103","dfi:AXF13_04655 / dfi:AXF13_08010 / dfi:AXF13_08115","gene","http://www.kegg.jp/dbget-bin/www_bget?dfi:AXF13_04655+dfi:AXF13_08010+dfi:AXF13_08115",NA,"rn:R04858",NA,669,919,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry64","132","dfi:AXF13_12885","gene","http://www.kegg.jp/dbget-bin/www_bget?dfi:AXF13_12885",NA,"rn:R00897",NA,491,224,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry65","133","dfi:AXF13_15470","gene","http://www.kegg.jp/dbget-bin/www_bget?dfi:AXF13_15470",NA,"rn:R00586",NA,518,163,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry74","149","dfi:AXF13_07655 / dfi:AXF13_13170","gene","http://www.kegg.jp/dbget-bin/www_bget?dfi:AXF13_07655+dfi:AXF13_13170",NA,"rn:R00590",NA,614,133,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry79","158","dfi:AXF13_12630 / dfi:AXF13_13335","gene","http://www.kegg.jp/dbget-bin/www_bget?dfi:AXF13_12630+dfi:AXF13_13335",NA,"rn:R02433",NA,766,415,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry82","162","dfi:AXF13_13575 / dfi:AXF13_13580","gene","http://www.kegg.jp/dbget-bin/www_bget?dfi:AXF13_13575+dfi:AXF13_13580",NA,"rn:R07633",NA,950,415,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry93","185","dfi:AXF13_12630 / dfi:AXF13_13335","gene","http://www.kegg.jp/dbget-bin/www_bget?dfi:AXF13_12630+dfi:AXF13_13335",NA,"rn:R02619",NA,358,560,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry97","192","dfi:AXF13_09690 / dfi:AXF13_11985","gene","http://www.kegg.jp/dbget-bin/www_bget?dfi:AXF13_09690+dfi:AXF13_11985",NA,"rn:R01874",NA,291,516,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
