"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry4","65","hbr:110632629 / hbr:110639602 / hbr:110642549 / hbr:110642550 / hbr:110650986 / hbr:110654496 / hbr:110656687 / hbr:110667377","gene","http://www.kegg.jp/dbget-bin/www_bget?hbr:110632629+hbr:110639602+hbr:110642549+hbr:110642550+hbr:110650986+hbr:110654496+hbr:110656687+hbr:110667377",NA,"rn:R07214",NA,696,1063,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry5","66","hbr:110633588 / hbr:110635898 / hbr:110638009 / hbr:110638594 / hbr:110656120 / hbr:110657409 / hbr:110664184 / hbr:110664711 / hbr:110667029 / hbr:110669775 / hbr:110672268 / hbr:110673406","gene","http://www.kegg.jp/dbget-bin/www_bget?hbr:110633588+hbr:110635898+hbr:110638009+hbr:110638594+hbr:110656120+hbr:110657409+hbr:110664184+hbr:110664711+hbr:110667029+hbr:110669775+hbr:110672268+hbr:110673406",NA,"rn:R00179",NA,696,991,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry17","78","hbr:110636295 / hbr:110642734 / hbr:110655282 / hbr:110665423 / hbr:110665424","gene","http://www.kegg.jp/dbget-bin/www_bget?hbr:110636295+hbr:110642734+hbr:110655282+hbr:110665423+hbr:110665424",NA,"rn:R07396",NA,492,1074,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry19","80","hbr:110632791 / hbr:110673232 / hbr:110673265","gene","http://www.kegg.jp/dbget-bin/www_bget?hbr:110632791+hbr:110673232+hbr:110673265",NA,"rn:R07364",NA,605,1190,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry20","81","hbr:110632791 / hbr:110673232 / hbr:110673265","gene","http://www.kegg.jp/dbget-bin/www_bget?hbr:110632791+hbr:110673232+hbr:110673265",NA,"rn:R07363",NA,649,1149,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry22","83","hbr:110642497 / hbr:110668312 / hbr:110672188","gene","http://www.kegg.jp/dbget-bin/www_bget?hbr:110642497+hbr:110668312+hbr:110672188",NA,"rn:R07392",NA,939,1190,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry23","84","hbr:110639648","gene","http://www.kegg.jp/dbget-bin/www_bget?hbr:110639648",NA,"rn:R04420",NA,993,1158,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry24","85","hbr:110663522 / hbr:110663523","gene","http://www.kegg.jp/dbget-bin/www_bget?hbr:110663522+hbr:110663523",NA,"rn:R04143",NA,993,1082,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry26","87","hbr:110633970 / hbr:110668972","gene","http://www.kegg.jp/dbget-bin/www_bget?hbr:110633970+hbr:110668972",NA,"rn:R01401",NA,1018,1023,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry28","89","hbr:110635348 / hbr:110637495 / hbr:110646852 / hbr:110650562 / hbr:110652029 / hbr:110660466","gene","http://www.kegg.jp/dbget-bin/www_bget?hbr:110635348+hbr:110637495+hbr:110646852+hbr:110650562+hbr:110652029+hbr:110660466",NA,"rn:R01920",NA,939,955,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry29","90","hbr:110637831 / hbr:110656032 / hbr:110657826 / hbr:110660711 / hbr:110664604 / hbr:110664835 / hbr:110670854 / hbr:110670867","gene","http://www.kegg.jp/dbget-bin/www_bget?hbr:110637831+hbr:110656032+hbr:110657826+hbr:110660711+hbr:110664604+hbr:110664835+hbr:110670854+hbr:110670867",NA,"rn:R00178",NA,797,966,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
