"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry27","88","too:C7K38_06235","gene","http://www.kegg.jp/dbget-bin/www_bget?too:C7K38_06235",NA,"rn:R01401",NA,968,1023,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry30","91","too:C7K38_07535","gene","http://www.kegg.jp/dbget-bin/www_bget?too:C7K38_07535",NA,"rn:R02025",NA,423,934,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry36","98","too:C7K38_01570 / too:C7K38_02055 / too:C7K38_02300 / too:C7K38_06625","gene","http://www.kegg.jp/dbget-bin/www_bget?too:C7K38_01570+too:C7K38_02055+too:C7K38_02300+too:C7K38_06625",NA,"rn:R01286",NA,517,772,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry37","99","too:C7K38_03995","gene","http://www.kegg.jp/dbget-bin/www_bget?too:C7K38_03995",NA,"rn:R04405",NA,542,896,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry39","101","too:C7K38_05105","gene","http://www.kegg.jp/dbget-bin/www_bget?too:C7K38_05105",NA,"rn:R00177",NA,616,966,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry45","108","too:C7K38_03950","gene","http://www.kegg.jp/dbget-bin/www_bget?too:C7K38_03950",NA,"rn:R01291",NA,833,847,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry46","109","too:C7K38_06235","gene","http://www.kegg.jp/dbget-bin/www_bget?too:C7K38_06235",NA,"rn:R00194",NA,765,886,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry64","132","too:C7K38_06605 / too:C7K38_06620","gene","http://www.kegg.jp/dbget-bin/www_bget?too:C7K38_06605+too:C7K38_06620",NA,"rn:R00897",NA,491,224,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry65","133","too:C7K38_06630","gene","http://www.kegg.jp/dbget-bin/www_bget?too:C7K38_06630",NA,"rn:R00586",NA,518,163,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry98","194","too:C7K38_01570 / too:C7K38_02055 / too:C7K38_02300 / too:C7K38_06625","gene","http://www.kegg.jp/dbget-bin/www_bget?too:C7K38_01570+too:C7K38_02055+too:C7K38_02300+too:C7K38_06625",NA,"rn:R00782",NA,192,472,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry103","202","too:C7K38_04900 / too:C7K38_05145 / too:C7K38_06495","gene","http://www.kegg.jp/dbget-bin/www_bget?too:C7K38_04900+too:C7K38_05145+too:C7K38_06495",NA,"rn:R03104",NA,116,615,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry107","207","too:C7K38_01915","gene","http://www.kegg.jp/dbget-bin/www_bget?too:C7K38_01915",NA,"rn:R01776",NA,808,694,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry108","208","too:C7K38_01915","gene","http://www.kegg.jp/dbget-bin/www_bget?too:C7K38_01915",NA,"rn:R01777",NA,809,638,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry114","215","too:C7K38_01910","gene","http://www.kegg.jp/dbget-bin/www_bget?too:C7K38_01910",NA,"rn:R01287 rn:R02026",NA,833,772,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry119","224","too:C7K38_10980","gene","http://www.kegg.jp/dbget-bin/www_bget?too:C7K38_10980",NA,"rn:R01773 rn:R01775",NA,764,664,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry121","227","too:C7K38_03070","gene","http://www.kegg.jp/dbget-bin/www_bget?too:C7K38_03070",NA,"rn:R02291",NA,670,664,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry123","230","too:C7K38_01260","gene","http://www.kegg.jp/dbget-bin/www_bget?too:C7K38_01260",NA,"rn:R00480",NA,586,664,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry145","260","too:C7K38_06490","gene","http://www.kegg.jp/dbget-bin/www_bget?too:C7K38_06490",NA,"rn:R10991",NA,863,505,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry147","262","too:C7K38_05850","gene","http://www.kegg.jp/dbget-bin/www_bget?too:C7K38_05850",NA,"rn:R10993",NA,965,516,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry163","285","too:C7K38_01570 / too:C7K38_02055 / too:C7K38_02300 / too:C7K38_06625","gene","http://www.kegg.jp/dbget-bin/www_bget?too:C7K38_01570+too:C7K38_02055+too:C7K38_02300+too:C7K38_06625",NA,"rn:R02408",NA,62,268,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry165","290","too:C7K38_03095","gene","http://www.kegg.jp/dbget-bin/www_bget?too:C7K38_03095",NA,"rn:R01513",NA,422,349,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry166","291","too:C7K38_03100","gene","http://www.kegg.jp/dbget-bin/www_bget?too:C7K38_03100",NA,"rn:R04173",NA,421,293,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry170","295","too:C7K38_06605 / too:C7K38_06620","gene","http://www.kegg.jp/dbget-bin/www_bget?too:C7K38_06605+too:C7K38_06620",NA,"rn:R07274",NA,468,271,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
