"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry27","88","bll:BLJ_0341","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_0341",NA,"rn:R01401",NA,968,1023,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry34","96","bll:BLJ_0532","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_0532",NA,"rn:R01290",NA,452,772,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry36","98","bll:BLJ_1400 / bll:BLJ_1513 / bll:BLJ_1846","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_1400+bll:BLJ_1513+bll:BLJ_1846",NA,"rn:R01286",NA,517,772,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry37","99","bll:BLJ_0946","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_0946",NA,"rn:R04405",NA,542,896,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry39","101","bll:BLJ_1506","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_1506",NA,"rn:R00177",NA,616,966,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry41","103","bll:BLJ_0186","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_0186",NA,"rn:R04858",NA,669,919,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry45","108","bll:BLJ_0536","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_0536",NA,"rn:R01291",NA,833,847,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry46","109","bll:BLJ_0341","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_0341",NA,"rn:R00194",NA,765,886,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry47","110","bll:BLJ_0533","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_0533",NA,"rn:R01288",NA,899,772,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry74","149","bll:BLJ_0690","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_0690",NA,"rn:R00590",NA,614,133,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry79","158","bll:BLJ_0962","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_0962",NA,"rn:R02433",NA,766,415,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry93","185","bll:BLJ_0962","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_0962",NA,"rn:R02619",NA,358,560,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry98","194","bll:BLJ_1400 / bll:BLJ_1513 / bll:BLJ_1846","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_1400+bll:BLJ_1513+bll:BLJ_1846",NA,"rn:R00782",NA,192,472,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry102","199","bll:BLJ_0962","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_0962",NA,"rn:R00896",NA,91,472,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry103","202","bll:BLJ_1065 / bll:BLJ_1311","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_1065+bll:BLJ_1311",NA,"rn:R03104",NA,116,615,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry107","207","bll:BLJ_0268","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_0268",NA,"rn:R01776",NA,808,694,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry108","208","bll:BLJ_0268","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_0268",NA,"rn:R01777",NA,809,638,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry111","212","bll:BLJ_0533","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_0533",NA,"rn:R03260",NA,696,602,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry112","213","bll:BLJ_0533","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_0533",NA,"rn:R03217",NA,696,726,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry113","214","bll:BLJ_0533","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_0533",NA,"rn:R02026",NA,783,772,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry114","215","bll:BLJ_0799","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_0799",NA,"rn:R01287 rn:R02026",NA,833,772,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry115","217","bll:BLJ_0533","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_0533",NA,"rn:R00999",NA,808,566,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry119","224","bll:BLJ_1842","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_1842",NA,"rn:R01773 rn:R01775",NA,764,664,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry121","227","bll:BLJ_0149","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_0149",NA,"rn:R02291",NA,670,664,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry123","230","bll:BLJ_0147 / bll:BLJ_0148","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_0147+bll:BLJ_0148",NA,"rn:R00480",NA,586,664,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry145","260","bll:BLJ_0899","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_0899",NA,"rn:R10991",NA,863,505,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry147","262","bll:BLJ_1541","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_1541",NA,"rn:R10993",NA,965,516,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry163","285","bll:BLJ_1400 / bll:BLJ_1513 / bll:BLJ_1846","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_1400+bll:BLJ_1513+bll:BLJ_1846",NA,"rn:R02408",NA,62,268,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry165","290","bll:BLJ_1306","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_1306",NA,"rn:R01513",NA,422,349,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry166","291","bll:BLJ_1664","gene","http://www.kegg.jp/dbget-bin/www_bget?bll:BLJ_1664",NA,"rn:R04173",NA,421,293,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
