"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry16","77","ppoa:BJK05_12450","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_12450",NA,"rn:R07396",NA,542,1074,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry19","80","ppoa:BJK05_08870 / ppoa:BJK05_11475","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_08870+ppoa:BJK05_11475",NA,"rn:R07364",NA,605,1190,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry20","81","ppoa:BJK05_08870 / ppoa:BJK05_11475","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_08870+ppoa:BJK05_11475",NA,"rn:R07363",NA,649,1149,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry22","83","ppoa:BJK05_11485","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_11485",NA,"rn:R07392",NA,939,1190,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry23","84","ppoa:BJK05_11470","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_11470",NA,"rn:R04420",NA,993,1158,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry24","85","ppoa:BJK05_11465","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_11465",NA,"rn:R04143",NA,993,1082,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry27","88","ppoa:BJK05_10710","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_10710",NA,"rn:R01401",NA,968,1023,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry28","89","ppoa:BJK05_10865","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_10865",NA,"rn:R01920",NA,939,955,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry29","90","ppoa:BJK05_10870","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_10870",NA,"rn:R00178",NA,797,966,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry30","91","ppoa:BJK05_04290","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_04290",NA,"rn:R02025",NA,423,934,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry34","96","ppoa:BJK05_14525","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_14525",NA,"rn:R01290",NA,452,772,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry35","97","ppoa:BJK05_13860","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_13860",NA,"rn:R00946",NA,492,896,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry36","98","ppoa:BJK05_18500","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_18500",NA,"rn:R01286",NA,517,772,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry37","99","ppoa:BJK05_00290 / ppoa:BJK05_02525 / ppoa:BJK05_17420","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_00290+ppoa:BJK05_02525+ppoa:BJK05_17420",NA,"rn:R04405",NA,542,896,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry39","101","ppoa:BJK05_13515","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_13515",NA,"rn:R00177",NA,616,966,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry41","103","ppoa:BJK05_01025","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_01025",NA,"rn:R04858",NA,669,919,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry44","107","ppoa:BJK05_02865","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_02865",NA,"rn:R00650",NA,542,877,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry45","108","ppoa:BJK05_11045","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_11045",NA,"rn:R01291",NA,833,847,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry46","109","ppoa:BJK05_10710","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_10710",NA,"rn:R00194",NA,765,886,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry47","110","ppoa:BJK05_15305","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_15305",NA,"rn:R01288",NA,899,772,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry62","129","ppoa:BJK05_11480","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_11480",NA,"rn:R07395",NA,767,1162,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry64","132","ppoa:BJK05_00505 / ppoa:BJK05_20860","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_00505+ppoa:BJK05_20860",NA,"rn:R00897",NA,491,224,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry65","133","ppoa:BJK05_17385","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_17385",NA,"rn:R00586",NA,518,163,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry70","140","ppoa:BJK05_20820","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_20820",NA,"rn:R03132",NA,466,192,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry74","149","ppoa:BJK05_04660 / ppoa:BJK05_09815","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_04660+ppoa:BJK05_09815",NA,"rn:R00590",NA,614,133,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry79","158","ppoa:BJK05_03945","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_03945",NA,"rn:R02433",NA,766,415,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry86","168","ppoa:BJK05_02255","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_02255",NA,"rn:R07634",NA,861,332,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry93","185","ppoa:BJK05_03945","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_03945",NA,"rn:R02619",NA,358,560,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry98","194","ppoa:BJK05_18500","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_18500",NA,"rn:R00782",NA,192,472,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry101","198","ppoa:BJK05_10265","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_10265",NA,"rn:R03105",NA,163,571,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry102","199","ppoa:BJK05_03945","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_03945",NA,"rn:R00896",NA,91,472,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry107","207","ppoa:BJK05_13885 / ppoa:BJK05_18715","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_13885+ppoa:BJK05_18715",NA,"rn:R01776",NA,808,694,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry108","208","ppoa:BJK05_13885 / ppoa:BJK05_18715","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_13885+ppoa:BJK05_18715",NA,"rn:R01777",NA,809,638,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry111","212","ppoa:BJK05_15305","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_15305",NA,"rn:R03260",NA,696,602,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry112","213","ppoa:BJK05_15305","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_15305",NA,"rn:R03217",NA,696,726,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry113","214","ppoa:BJK05_15305","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_15305",NA,"rn:R02026",NA,783,772,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry114","215","ppoa:BJK05_20530","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_20530",NA,"rn:R01287 rn:R02026",NA,833,772,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry115","217","ppoa:BJK05_15305","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_15305",NA,"rn:R00999",NA,808,566,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry119","224","ppoa:BJK05_13385 / ppoa:BJK05_15300","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_13385+ppoa:BJK05_15300",NA,"rn:R01773 rn:R01775",NA,764,664,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry121","227","ppoa:BJK05_14725","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_14725",NA,"rn:R02291",NA,670,664,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry123","230","ppoa:BJK05_13385 / ppoa:BJK05_13835 / ppoa:BJK05_15300","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_13385+ppoa:BJK05_13835+ppoa:BJK05_15300",NA,"rn:R00480",NA,586,664,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
"entry140","253","ppoa:BJK05_19780","gene","http://www.kegg.jp/dbget-bin/www_bget?ppoa:BJK05_19780",NA,"rn:R07136",NA,861,404,"rectangle",46,17,"#000000","#BFFFBF",1,"00270"
