"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry2","54","avd:AvCA6_29750","gene","http://www.kegg.jp/dbget-bin/www_bget?avd:AvCA6_29750",NA,"rn:R07618",NA,585,362,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry10","62","avd:AvCA6_29750","gene","http://www.kegg.jp/dbget-bin/www_bget?avd:AvCA6_29750",NA,"rn:R07618",NA,407,362,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry16","68","avd:AvCA6_29750","gene","http://www.kegg.jp/dbget-bin/www_bget?avd:AvCA6_29750",NA,"rn:R07618",NA,130,362,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry20","72","avd:AvCA6_07370 / avd:AvCA6_14260 / avd:AvCA6_16380 / avd:AvCA6_17360 / avd:AvCA6_22240 / avd:AvCA6_23640 / avd:AvCA6_51590","gene","http://www.kegg.jp/dbget-bin/www_bget?avd:AvCA6_07370+avd:AvCA6_14260+avd:AvCA6_16380+avd:AvCA6_17360+avd:AvCA6_22240+avd:AvCA6_23640+avd:AvCA6_51590",NA,"rn:R00238",NA,180,751,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry24","76","avd:AvCA6_17560 / avd:AvCA6_17570 / avd:AvCA6_51600 / avd:AvCA6_51610","gene","http://www.kegg.jp/dbget-bin/www_bget?avd:AvCA6_17560+avd:AvCA6_17570+avd:AvCA6_51600+avd:AvCA6_51610",NA,"rn:R00410",NA,101,718,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry25","77","avd:AvCA6_25990 / avd:AvCA6_49510","gene","http://www.kegg.jp/dbget-bin/www_bget?avd:AvCA6_25990+avd:AvCA6_49510",NA,"rn:R01360",NA,167,669,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry26","78","avd:AvCA6_49530","gene","http://www.kegg.jp/dbget-bin/www_bget?avd:AvCA6_49530",NA,"rn:R02085",NA,167,617,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry27","79","avd:AvCA6_49520 / avd:AvCA6_49550","gene","http://www.kegg.jp/dbget-bin/www_bget?avd:AvCA6_49520+avd:AvCA6_49550",NA,"rn:R04138",NA,167,554,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry28","80","avd:AvCA6_10710 / avd:AvCA6_14440 / avd:AvCA6_16390","gene","http://www.kegg.jp/dbget-bin/www_bget?avd:AvCA6_10710+avd:AvCA6_14440+avd:AvCA6_16390",NA,"rn:R04137",NA,122,528,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry29","81","avd:AvCA6_49560","gene","http://www.kegg.jp/dbget-bin/www_bget?avd:AvCA6_49560",NA,"rn:R04095",NA,167,477,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry31","83","avd:AvCA6_10760","gene","http://www.kegg.jp/dbget-bin/www_bget?avd:AvCA6_10760",NA,"rn:R01088",NA,92,194,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry32","85","avd:AvCA6_44880","gene","http://www.kegg.jp/dbget-bin/www_bget?avd:AvCA6_44880",NA,"rn:R01214",NA,444,194,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry33","86","avd:AvCA6_14450","gene","http://www.kegg.jp/dbget-bin/www_bget?avd:AvCA6_14450",NA,"rn:R00927",NA,622,703,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry34","87","avd:AvCA6_14440 / avd:AvCA6_16390","gene","http://www.kegg.jp/dbget-bin/www_bget?avd:AvCA6_14440+avd:AvCA6_16390",NA,"rn:R05066",NA,469,703,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry35","88","avd:AvCA6_10710 / avd:AvCA6_14440 / avd:AvCA6_16390","gene","http://www.kegg.jp/dbget-bin/www_bget?avd:AvCA6_10710+avd:AvCA6_14440+avd:AvCA6_16390",NA,"rn:R04204",NA,622,564,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry39","92","avd:AvCA6_44880","gene","http://www.kegg.jp/dbget-bin/www_bget?avd:AvCA6_44880",NA,"rn:R02199",NA,621,194,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry46","99","avd:AvCA6_10720 / avd:AvCA6_13890 / avd:AvCA6_50080","gene","http://www.kegg.jp/dbget-bin/www_bget?avd:AvCA6_10720+avd:AvCA6_13890+avd:AvCA6_50080",NA,"rn:R00922",NA,531,757,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry48","101","avd:AvCA6_14440 / avd:AvCA6_16390","gene","http://www.kegg.jp/dbget-bin/www_bget?avd:AvCA6_14440+avd:AvCA6_16390",NA,"rn:R04203",NA,597,636,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry49","102","avd:AvCA6_10700","gene","http://www.kegg.jp/dbget-bin/www_bget?avd:AvCA6_10700",NA,"rn:R05066",NA,419,703,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry52","105","avd:AvCA6_10710 / avd:AvCA6_14440 / avd:AvCA6_16390","gene","http://www.kegg.jp/dbget-bin/www_bget?avd:AvCA6_10710+avd:AvCA6_14440+avd:AvCA6_16390",NA,"rn:R04224",NA,444,564,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry58","111","avd:AvCA6_44880","gene","http://www.kegg.jp/dbget-bin/www_bget?avd:AvCA6_44880",NA,"rn:R01090",NA,142,194,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry61","114","avd:AvCA6_22800","gene","http://www.kegg.jp/dbget-bin/www_bget?avd:AvCA6_22800",NA,"rn:R04187",NA,389,746,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
