"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","53","svo:SVI_0813 / svo:SVI_2042 / svo:SVI_2043","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_0813+svo:SVI_2042+svo:SVI_2043",NA,"rn:R07604",NA,622,325,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry2","54","svo:SVI_0266","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_0266",NA,"rn:R07618",NA,585,362,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry10","62","svo:SVI_0266","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_0266",NA,"rn:R07618",NA,407,362,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry11","63","svo:SVI_0813 / svo:SVI_2042 / svo:SVI_2043","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_0813+svo:SVI_2042+svo:SVI_2043",NA,"rn:R07600",NA,444,325,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry16","68","svo:SVI_0266","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_0266",NA,"rn:R07618",NA,130,362,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry17","69","svo:SVI_0813 / svo:SVI_2042 / svo:SVI_2043","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_0813+svo:SVI_2042+svo:SVI_2043",NA,"rn:R07602",NA,167,325,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry20","72","svo:SVI_3103","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_3103",NA,"rn:R00238",NA,180,751,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry24","76","svo:SVI_1274 / svo:SVI_1275","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_1274+svo:SVI_1275",NA,"rn:R00410",NA,101,718,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry25","77","svo:SVI_1276","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_1276",NA,"rn:R01360",NA,167,669,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry26","78","svo:SVI_1281","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_1281",NA,"rn:R02085",NA,167,617,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry27","79","svo:SVI_1280 / svo:SVI_1282","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_1280+svo:SVI_1282",NA,"rn:R04138",NA,167,554,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry28","80","svo:SVI_0052 / svo:SVI_2905","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_0052+svo:SVI_2905",NA,"rn:R04137",NA,122,528,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry29","81","svo:SVI_1283","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_1283",NA,"rn:R04095",NA,167,477,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry30","82","svo:SVI_0813 / svo:SVI_2042 / svo:SVI_2043","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_0813+svo:SVI_2042+svo:SVI_2043",NA,"rn:R07603",NA,622,261,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry31","83","svo:SVI_1816","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_1816",NA,"rn:R01088",NA,92,194,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry32","85","svo:SVI_3866 / svo:SVI_3956","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_3866+svo:SVI_3956",NA,"rn:R01214",NA,444,194,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry33","86","svo:SVI_0051 / svo:SVI_2906","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_0051+svo:SVI_2906",NA,"rn:R00927",NA,622,703,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry34","87","svo:SVI_0052 / svo:SVI_2905","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_0052+svo:SVI_2905",NA,"rn:R05066",NA,469,703,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry35","88","svo:SVI_0052 / svo:SVI_2905","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_0052+svo:SVI_2905",NA,"rn:R04204",NA,622,564,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry37","90","svo:SVI_2044","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_2044",NA,"rn:R03174",NA,622,399,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry38","91","svo:SVI_0813 / svo:SVI_2042 / svo:SVI_2043","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_0813+svo:SVI_2042+svo:SVI_2043",NA,"rn:R07599",NA,444,261,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry39","92","svo:SVI_3866 / svo:SVI_3956","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_3866+svo:SVI_3956",NA,"rn:R02199",NA,621,194,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry46","99","svo:SVI_3102","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_3102",NA,"rn:R00922",NA,531,757,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry48","101","svo:SVI_0052 / svo:SVI_2905","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_0052+svo:SVI_2905",NA,"rn:R04203",NA,597,636,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry49","102","svo:SVI_3098","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_3098",NA,"rn:R05066",NA,419,703,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry52","105","svo:SVI_0052 / svo:SVI_2905","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_0052+svo:SVI_2905",NA,"rn:R04224",NA,444,564,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry55","108","svo:SVI_2044","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_2044",NA,"rn:R02662",NA,444,399,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry56","109","svo:SVI_0813 / svo:SVI_2042 / svo:SVI_2043","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_0813+svo:SVI_2042+svo:SVI_2043",NA,"rn:R07601",NA,167,261,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry57","110","svo:SVI_2044","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_2044",NA,"rn:R04097",NA,167,399,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry58","111","svo:SVI_3866 / svo:SVI_3956","gene","http://www.kegg.jp/dbget-bin/www_bget?svo:SVI_3866+svo:SVI_3956",NA,"rn:R01090",NA,142,194,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
