"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","53","mdl:103577021 / mdl:103577874","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103577021+mdl:103577874",NA,"rn:R07604",NA,622,325,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry2","54","mdl:103578308","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103578308",NA,"rn:R07618",NA,585,362,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry10","62","mdl:103578308","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103578308",NA,"rn:R07618",NA,407,362,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry11","63","mdl:103577021 / mdl:103577874","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103577021+mdl:103577874",NA,"rn:R07600",NA,444,325,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry16","68","mdl:103578308","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103578308",NA,"rn:R07618",NA,130,362,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry17","69","mdl:103577021 / mdl:103577874","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103577021+mdl:103577874",NA,"rn:R07602",NA,167,325,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry20","72","mdl:103574020 / mdl:103574134 / mdl:103574186","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103574020+mdl:103574134+mdl:103574186",NA,"rn:R00238",NA,180,751,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry23","75","mdl:103576940","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103576940",NA,"rn:R01978",NA,50,712,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry24","76","mdl:103572049 / mdl:103580711","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103572049+mdl:103580711",NA,"rn:R00410",NA,101,718,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry25","77","mdl:103573792","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103573792",NA,"rn:R01360",NA,167,669,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry26","78","mdl:106693077","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:106693077",NA,"rn:R02085",NA,167,617,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry27","79","mdl:103568933 / mdl:103580256","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103568933+mdl:103580256",NA,"rn:R04138",NA,167,554,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry28","80","mdl:103578406 / mdl:103579736","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103578406+mdl:103579736",NA,"rn:R04137",NA,122,528,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry29","81","mdl:103568706","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103568706",NA,"rn:R04095",NA,167,477,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry30","82","mdl:103577021 / mdl:103577874","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103577021+mdl:103577874",NA,"rn:R07603",NA,622,261,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry32","85","mdl:103571822","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103571822",NA,"rn:R01214",NA,444,194,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry33","86","mdl:103573725 / mdl:103580431","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103573725+mdl:103580431",NA,"rn:R00927",NA,622,703,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry35","88","mdl:103578406 / mdl:103579736","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103578406+mdl:103579736",NA,"rn:R04204",NA,622,564,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry36","89","mdl:103579394","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103579394",NA,"rn:R02661",NA,469,477,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry37","90","mdl:103569362","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103569362",NA,"rn:R03174",NA,622,399,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry38","91","mdl:103577021 / mdl:103577874","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103577021+mdl:103577874",NA,"rn:R07599",NA,444,261,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry39","92","mdl:103571822","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103571822",NA,"rn:R02199",NA,621,194,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry45","98","mdl:103568681 / mdl:103569352 / mdl:103569646 / mdl:103577129 / mdl:103577131 / mdl:103577132 / mdl:103577844","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103568681+mdl:103569352+mdl:103569646+mdl:103577129+mdl:103577131+mdl:103577132+mdl:103577844",NA,"rn:R03869",NA,419,815,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry46","99","mdl:103577441","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103577441",NA,"rn:R00922",NA,531,757,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry47","100","mdl:103575173","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103575173",NA,"rn:R04188",NA,389,767,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry48","101","mdl:103575367 / mdl:103575716","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103575367+mdl:103575716",NA,"rn:R04203",NA,597,636,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry49","102","mdl:103570641","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103570641",NA,"rn:R05066",NA,419,703,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry50","103","mdl:103580595","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103580595",NA,"rn:R05064",NA,444,636,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry51","104","mdl:103575367 / mdl:103575716","gene","http://www.kegg.jp/dbget-bin/www_bget?mdl:103575367+mdl:103575716",NA,"rn:R04203",NA,647,636,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
