"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry2","54","ota:OT_ostta04g04830 / ota:OT_ostta11g02820","gene","http://www.kegg.jp/dbget-bin/www_bget?ota:OT_ostta04g04830+ota:OT_ostta11g02820",NA,"rn:R07618",NA,585,362,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry10","62","ota:OT_ostta04g04830 / ota:OT_ostta11g02820","gene","http://www.kegg.jp/dbget-bin/www_bget?ota:OT_ostta04g04830+ota:OT_ostta11g02820",NA,"rn:R07618",NA,407,362,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry16","68","ota:OT_ostta04g04830 / ota:OT_ostta11g02820","gene","http://www.kegg.jp/dbget-bin/www_bget?ota:OT_ostta04g04830+ota:OT_ostta11g02820",NA,"rn:R07618",NA,130,362,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry28","80","ota:OT_ostta09g03720","gene","http://www.kegg.jp/dbget-bin/www_bget?ota:OT_ostta09g03720",NA,"rn:R04137",NA,122,528,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry32","85","ota:OT_ostta04g04750 / ota:OT_ostta08g02240","gene","http://www.kegg.jp/dbget-bin/www_bget?ota:OT_ostta04g04750+ota:OT_ostta08g02240",NA,"rn:R01214",NA,444,194,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry33","86","ota:OT_ostta06g04450","gene","http://www.kegg.jp/dbget-bin/www_bget?ota:OT_ostta06g04450",NA,"rn:R00927",NA,622,703,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry35","88","ota:OT_ostta09g03720","gene","http://www.kegg.jp/dbget-bin/www_bget?ota:OT_ostta09g03720",NA,"rn:R04204",NA,622,564,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry39","92","ota:OT_ostta04g04750 / ota:OT_ostta08g02240","gene","http://www.kegg.jp/dbget-bin/www_bget?ota:OT_ostta04g04750+ota:OT_ostta08g02240",NA,"rn:R02199",NA,621,194,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry45","98","ota:OT_ostta01g04230","gene","http://www.kegg.jp/dbget-bin/www_bget?ota:OT_ostta01g04230",NA,"rn:R03869",NA,419,815,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry47","100","ota:OT_ostta10g02200","gene","http://www.kegg.jp/dbget-bin/www_bget?ota:OT_ostta10g02200",NA,"rn:R04188",NA,389,767,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry52","105","ota:OT_ostta09g03720","gene","http://www.kegg.jp/dbget-bin/www_bget?ota:OT_ostta09g03720",NA,"rn:R04224",NA,444,564,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry53","106","ota:OT_ostta01g00320","gene","http://www.kegg.jp/dbget-bin/www_bget?ota:OT_ostta01g00320",NA,"rn:R02661",NA,369,477,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry58","111","ota:OT_ostta04g04750 / ota:OT_ostta08g02240","gene","http://www.kegg.jp/dbget-bin/www_bget?ota:OT_ostta04g04750+ota:OT_ostta08g02240",NA,"rn:R01090",NA,142,194,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry63","116","ota:OT_ostta01g00320","gene","http://www.kegg.jp/dbget-bin/www_bget?ota:OT_ostta01g00320",NA,"rn:R04095",NA,217,477,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry64","117","ota:OT_ostta01g00320","gene","http://www.kegg.jp/dbget-bin/www_bget?ota:OT_ostta01g00320",NA,"rn:R03172",NA,697,477,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry104","171","ota:OT_ostta10g01690","gene","http://www.kegg.jp/dbget-bin/www_bget?ota:OT_ostta10g01690",NA,"rn:R03383",NA,444,881,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
