"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry2","54","ccap:AES38_04485 / ccap:AES38_05245 / ccap:AES38_07910","gene","http://www.kegg.jp/dbget-bin/www_bget?ccap:AES38_04485+ccap:AES38_05245+ccap:AES38_07910",NA,"rn:R07618",NA,585,362,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry10","62","ccap:AES38_04485 / ccap:AES38_05245 / ccap:AES38_07910","gene","http://www.kegg.jp/dbget-bin/www_bget?ccap:AES38_04485+ccap:AES38_05245+ccap:AES38_07910",NA,"rn:R07618",NA,407,362,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry16","68","ccap:AES38_04485 / ccap:AES38_05245 / ccap:AES38_07910","gene","http://www.kegg.jp/dbget-bin/www_bget?ccap:AES38_04485+ccap:AES38_05245+ccap:AES38_07910",NA,"rn:R07618",NA,130,362,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry32","85","ccap:AES38_05095","gene","http://www.kegg.jp/dbget-bin/www_bget?ccap:AES38_05095",NA,"rn:R01214",NA,444,194,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry33","86","ccap:AES38_08010","gene","http://www.kegg.jp/dbget-bin/www_bget?ccap:AES38_08010",NA,"rn:R00927",NA,622,703,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry39","92","ccap:AES38_05095","gene","http://www.kegg.jp/dbget-bin/www_bget?ccap:AES38_05095",NA,"rn:R02199",NA,621,194,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry43","96","ccap:AES38_04500 / ccap:AES38_04540","gene","http://www.kegg.jp/dbget-bin/www_bget?ccap:AES38_04500+ccap:AES38_04540",NA,"rn:R01859",NA,622,830,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry46","99","ccap:AES38_03385","gene","http://www.kegg.jp/dbget-bin/www_bget?ccap:AES38_03385",NA,"rn:R00922",NA,531,757,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry47","100","ccap:AES38_10565","gene","http://www.kegg.jp/dbget-bin/www_bget?ccap:AES38_10565",NA,"rn:R04188",NA,389,767,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry49","102","ccap:AES38_01870","gene","http://www.kegg.jp/dbget-bin/www_bget?ccap:AES38_01870",NA,"rn:R05066",NA,419,703,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
"entry58","111","ccap:AES38_05095","gene","http://www.kegg.jp/dbget-bin/www_bget?ccap:AES38_05095",NA,"rn:R01090",NA,142,194,"rectangle",46,17,"#000000","#BFFFBF",1,"00280"
