"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","22","atf:Ach5_25950 / atf:Ach5_26740","gene","http://www.kegg.jp/dbget-bin/www_bget?atf:Ach5_25950+atf:Ach5_26740",NA,"rn:R03898",NA,270,183,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry2","23","atf:Ach5_26750","gene","http://www.kegg.jp/dbget-bin/www_bget?atf:Ach5_26750",NA,"rn:R00994",NA,179,208,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry3","24","atf:Ach5_11070 / atf:Ach5_26190 / atf:Ach5_44910","gene","http://www.kegg.jp/dbget-bin/www_bget?atf:Ach5_11070+atf:Ach5_26190+atf:Ach5_44910",NA,"rn:R00996",NA,129,240,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry11","32","atf:Ach5_07900","gene","http://www.kegg.jp/dbget-bin/www_bget?atf:Ach5_07900",NA,"rn:R02199",NA,154,565,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry12","34","atf:Ach5_07900","gene","http://www.kegg.jp/dbget-bin/www_bget?atf:Ach5_07900",NA,"rn:R01090",NA,676,704,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry13","35","atf:Ach5_19040","gene","http://www.kegg.jp/dbget-bin/www_bget?atf:Ach5_19040",NA,"rn:R05068",NA,179,429,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry14","36","atf:Ach5_25950 / atf:Ach5_26740","gene","http://www.kegg.jp/dbget-bin/www_bget?atf:Ach5_25950+atf:Ach5_26740",NA,"rn:R03968",NA,533,530,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry15","37","atf:Ach5_26750","gene","http://www.kegg.jp/dbget-bin/www_bget?atf:Ach5_26750",NA,"rn:R04426",NA,702,565,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry16","38","atf:Ach5_25950 / atf:Ach5_26740","gene","http://www.kegg.jp/dbget-bin/www_bget?atf:Ach5_25950+atf:Ach5_26740",NA,"rn:R04001",NA,645,530,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry17","39","atf:Ach5_21420","gene","http://www.kegg.jp/dbget-bin/www_bget?atf:Ach5_21420",NA,"rn:R01213",NA,411,524,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry19","41","atf:Ach5_07900","gene","http://www.kegg.jp/dbget-bin/www_bget?atf:Ach5_07900",NA,"rn:R01214",NA,296,565,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry20","42","atf:Ach5_18240 / atf:Ach5_30660 / atf:Ach5_37430","gene","http://www.kegg.jp/dbget-bin/www_bget?atf:Ach5_18240+atf:Ach5_30660+atf:Ach5_37430",NA,"rn:R04441",NA,321,495,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry21","43","atf:Ach5_19040","gene","http://www.kegg.jp/dbget-bin/www_bget?atf:Ach5_19040",NA,"rn:R05069",NA,154,361,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry22","45","atf:Ach5_19040","gene","http://www.kegg.jp/dbget-bin/www_bget?atf:Ach5_19040",NA,"rn:R05071",NA,296,361,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry23","46","atf:Ach5_18240 / atf:Ach5_30660 / atf:Ach5_37430","gene","http://www.kegg.jp/dbget-bin/www_bget?atf:Ach5_18240+atf:Ach5_30660+atf:Ach5_37430",NA,"rn:R05070",NA,179,495,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry24","47","atf:Ach5_19040","gene","http://www.kegg.jp/dbget-bin/www_bget?atf:Ach5_19040",NA,"rn:R04440",NA,321,429,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry25","48","atf:Ach5_19230 / atf:Ach5_19240 / atf:Ach5_20130","gene","http://www.kegg.jp/dbget-bin/www_bget?atf:Ach5_19230+atf:Ach5_19240+atf:Ach5_20130",NA,"rn:R08648",NA,179,293,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry28","52","atf:Ach5_46860","gene","http://www.kegg.jp/dbget-bin/www_bget?atf:Ach5_46860",NA,"rn:R01088",NA,726,704,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry29","53","atf:Ach5_46860","gene","http://www.kegg.jp/dbget-bin/www_bget?atf:Ach5_46860",NA,"rn:R01434",NA,346,565,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry30","54","atf:Ach5_46860","gene","http://www.kegg.jp/dbget-bin/www_bget?atf:Ach5_46860",NA,"rn:R02196",NA,204,565,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry49","85","atf:Ach5_25950 / atf:Ach5_26740","gene","http://www.kegg.jp/dbget-bin/www_bget?atf:Ach5_25950+atf:Ach5_26740",NA,"rn:R03896",NA,411,182,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry50","86","atf:Ach5_19230 / atf:Ach5_19240 / atf:Ach5_20130","gene","http://www.kegg.jp/dbget-bin/www_bget?atf:Ach5_19230+atf:Ach5_19240+atf:Ach5_20130",NA,"rn:R00226",NA,321,293,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
