"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","20","hsf:HLASA_0556","gene","http://www.kegg.jp/dbget-bin/www_bget?hsf:HLASA_0556",NA,"rn:R07399",NA,475,218,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry1","21","hsf:HLASA_0249 / hsf:HLASA_0250 / hsf:HLASA_1848 / hsf:HLASA_1849","gene","http://www.kegg.jp/dbget-bin/www_bget?hsf:HLASA_0249+hsf:HLASA_0250+hsf:HLASA_1848+hsf:HLASA_1849",NA,"rn:R03898",NA,270,183,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry2","22","hsf:HLASA_1850","gene","http://www.kegg.jp/dbget-bin/www_bget?hsf:HLASA_1850",NA,"rn:R00994",NA,179,208,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry3","23","hsf:HLASA_0234","gene","http://www.kegg.jp/dbget-bin/www_bget?hsf:HLASA_0234",NA,"rn:R00996",NA,129,240,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry11","31","hsf:HLASA_0222 / hsf:HLASA_1863","gene","http://www.kegg.jp/dbget-bin/www_bget?hsf:HLASA_0222+hsf:HLASA_1863",NA,"rn:R02199",NA,154,565,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry12","33","hsf:HLASA_0222 / hsf:HLASA_1863","gene","http://www.kegg.jp/dbget-bin/www_bget?hsf:HLASA_0222+hsf:HLASA_1863",NA,"rn:R01090",NA,676,704,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry13","34","hsf:HLASA_1847","gene","http://www.kegg.jp/dbget-bin/www_bget?hsf:HLASA_1847",NA,"rn:R05068",NA,179,429,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry14","35","hsf:HLASA_0249 / hsf:HLASA_0250 / hsf:HLASA_1848 / hsf:HLASA_1849","gene","http://www.kegg.jp/dbget-bin/www_bget?hsf:HLASA_0249+hsf:HLASA_0250+hsf:HLASA_1848+hsf:HLASA_1849",NA,"rn:R03968",NA,533,530,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry15","36","hsf:HLASA_1850","gene","http://www.kegg.jp/dbget-bin/www_bget?hsf:HLASA_1850",NA,"rn:R04426",NA,702,565,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry16","37","hsf:HLASA_0249 / hsf:HLASA_0250 / hsf:HLASA_1848 / hsf:HLASA_1849","gene","http://www.kegg.jp/dbget-bin/www_bget?hsf:HLASA_0249+hsf:HLASA_0250+hsf:HLASA_1848+hsf:HLASA_1849",NA,"rn:R04001",NA,645,530,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry17","38","hsf:HLASA_1844","gene","http://www.kegg.jp/dbget-bin/www_bget?hsf:HLASA_1844",NA,"rn:R01213",NA,411,524,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry19","40","hsf:HLASA_0222 / hsf:HLASA_1863","gene","http://www.kegg.jp/dbget-bin/www_bget?hsf:HLASA_0222+hsf:HLASA_1863",NA,"rn:R01214",NA,296,565,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry20","41","hsf:HLASA_0990","gene","http://www.kegg.jp/dbget-bin/www_bget?hsf:HLASA_0990",NA,"rn:R04441",NA,321,495,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry21","42","hsf:HLASA_1847","gene","http://www.kegg.jp/dbget-bin/www_bget?hsf:HLASA_1847",NA,"rn:R05069",NA,154,361,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry22","44","hsf:HLASA_1847","gene","http://www.kegg.jp/dbget-bin/www_bget?hsf:HLASA_1847",NA,"rn:R05071",NA,296,361,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry23","45","hsf:HLASA_0990","gene","http://www.kegg.jp/dbget-bin/www_bget?hsf:HLASA_0990",NA,"rn:R05070",NA,179,495,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry24","46","hsf:HLASA_1847","gene","http://www.kegg.jp/dbget-bin/www_bget?hsf:HLASA_1847",NA,"rn:R04440",NA,321,429,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry25","47","hsf:HLASA_1845 / hsf:HLASA_1846","gene","http://www.kegg.jp/dbget-bin/www_bget?hsf:HLASA_1845+hsf:HLASA_1846",NA,"rn:R08648",NA,179,293,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry49","78","hsf:HLASA_0249 / hsf:HLASA_0250 / hsf:HLASA_1848 / hsf:HLASA_1849","gene","http://www.kegg.jp/dbget-bin/www_bget?hsf:HLASA_0249+hsf:HLASA_0250+hsf:HLASA_1848+hsf:HLASA_1849",NA,"rn:R03896",NA,411,182,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
"entry50","79","hsf:HLASA_1845 / hsf:HLASA_1846","gene","http://www.kegg.jp/dbget-bin/www_bget?hsf:HLASA_1845+hsf:HLASA_1846",NA,"rn:R00226",NA,321,293,"rectangle",46,17,"#000000","#BFFFBF",1,"00290"
