"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry12","51","hpyk:HPAKL86_04910","gene","http://www.kegg.jp/dbget-bin/www_bget?hpyk:HPAKL86_04910",NA,"rn:R04617",NA,986,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry16","55","hpyk:HPAKL86_01200","gene","http://www.kegg.jp/dbget-bin/www_bget?hpyk:HPAKL86_01200",NA,"rn:R00480",NA,209,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry17","56","hpyk:HPAKL86_01395","gene","http://www.kegg.jp/dbget-bin/www_bget?hpyk:HPAKL86_01395",NA,"rn:R02291",NA,312,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry18","57","hpyk:HPAKL86_04475","gene","http://www.kegg.jp/dbget-bin/www_bget?hpyk:HPAKL86_04475",NA,"rn:R01773 rn:R01775",NA,366,151,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry19","58","hpyk:HPAKL86_03245","gene","http://www.kegg.jp/dbget-bin/www_bget?hpyk:HPAKL86_03245",NA,"rn:R10147",NA,415,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry20","59","hpyk:HPAKL86_03875","gene","http://www.kegg.jp/dbget-bin/www_bget?hpyk:HPAKL86_03875",NA,"rn:R04198 rn:R04199",NA,519,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry23","62","hpyk:HPAKL86_04510","gene","http://www.kegg.jp/dbget-bin/www_bget?hpyk:HPAKL86_04510",NA,"rn:R04365",NA,622,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry27","66","hpyk:HPAKL86_01650","gene","http://www.kegg.jp/dbget-bin/www_bget?hpyk:HPAKL86_01650",NA,"rn:R02734",NA,778,216,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry28","67","hpyk:HPAKL86_04005","gene","http://www.kegg.jp/dbget-bin/www_bget?hpyk:HPAKL86_04005",NA,"rn:R02735",NA,778,290,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry29","68","hpyk:HPAKL86_02680","gene","http://www.kegg.jp/dbget-bin/www_bget?hpyk:HPAKL86_02680",NA,"rn:R00451",NA,778,377,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry30","69","hpyk:HPAKL86_06935","gene","http://www.kegg.jp/dbget-bin/www_bget?hpyk:HPAKL86_06935",NA,"rn:R00715",NA,730,433,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry43","82","hpyk:HPAKL86_00465","gene","http://www.kegg.jp/dbget-bin/www_bget?hpyk:HPAKL86_00465",NA,"rn:R02788",NA,851,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
