"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry12","51","rhi:NGR_c21110","gene","http://www.kegg.jp/dbget-bin/www_bget?rhi:NGR_c21110",NA,"rn:R04617",NA,986,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry16","55","rhi:NGR_c26590","gene","http://www.kegg.jp/dbget-bin/www_bget?rhi:NGR_c26590",NA,"rn:R00480",NA,209,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry17","56","rhi:NGR_c33220","gene","http://www.kegg.jp/dbget-bin/www_bget?rhi:NGR_c33220",NA,"rn:R02291",NA,312,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry18","57","rhi:NGR_b07030 / rhi:NGR_c14020","gene","http://www.kegg.jp/dbget-bin/www_bget?rhi:NGR_b07030+rhi:NGR_c14020",NA,"rn:R01773 rn:R01775",NA,366,151,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry19","58","rhi:NGR_b00160 / rhi:NGR_b08920 / rhi:NGR_b17190 / rhi:NGR_c08200 / rhi:NGR_c26410 / rhi:NGR_c30190","gene","http://www.kegg.jp/dbget-bin/www_bget?rhi:NGR_b00160+rhi:NGR_b08920+rhi:NGR_b17190+rhi:NGR_c08200+rhi:NGR_c26410+rhi:NGR_c30190",NA,"rn:R10147",NA,415,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry20","59","rhi:NGR_c34880","gene","http://www.kegg.jp/dbget-bin/www_bget?rhi:NGR_c34880",NA,"rn:R04198 rn:R04199",NA,519,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry23","62","rhi:NGR_c00680","gene","http://www.kegg.jp/dbget-bin/www_bget?rhi:NGR_c00680",NA,"rn:R04365",NA,622,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry25","64","rhi:NGR_c01510","gene","http://www.kegg.jp/dbget-bin/www_bget?rhi:NGR_c01510",NA,"rn:R04475",NA,725,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry27","66","rhi:NGR_c00610","gene","http://www.kegg.jp/dbget-bin/www_bget?rhi:NGR_c00610",NA,"rn:R02734",NA,778,216,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry28","67","rhi:NGR_c32280","gene","http://www.kegg.jp/dbget-bin/www_bget?rhi:NGR_c32280",NA,"rn:R02735",NA,778,290,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry29","68","rhi:NGR_a00720 / rhi:NGR_b03530 / rhi:NGR_c26960","gene","http://www.kegg.jp/dbget-bin/www_bget?rhi:NGR_a00720+rhi:NGR_b03530+rhi:NGR_c26960",NA,"rn:R00451",NA,778,377,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry43","82","rhi:NGR_c21120","gene","http://www.kegg.jp/dbget-bin/www_bget?rhi:NGR_c21120",NA,"rn:R02788",NA,851,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
