"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry12","51","bmb:BruAb1_1430","gene","http://www.kegg.jp/dbget-bin/www_bget?bmb:BruAb1_1430",NA,"rn:R04617",NA,986,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry16","55","bmb:BruAb1_1850","gene","http://www.kegg.jp/dbget-bin/www_bget?bmb:BruAb1_1850",NA,"rn:R00480",NA,209,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry17","56","bmb:BruAb2_0345","gene","http://www.kegg.jp/dbget-bin/www_bget?bmb:BruAb2_0345",NA,"rn:R02291",NA,312,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry18","57","bmb:BruAb1_1275","gene","http://www.kegg.jp/dbget-bin/www_bget?bmb:BruAb1_1275",NA,"rn:R01773 rn:R01775",NA,366,151,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry19","58","bmb:BruAb1_0663 / bmb:BruAb2_0795","gene","http://www.kegg.jp/dbget-bin/www_bget?bmb:BruAb1_0663+bmb:BruAb2_0795",NA,"rn:R10147",NA,415,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry20","59","bmb:BruAb2_0991","gene","http://www.kegg.jp/dbget-bin/www_bget?bmb:BruAb2_0991",NA,"rn:R04198 rn:R04199",NA,519,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry23","62","bmb:BruAb2_0968","gene","http://www.kegg.jp/dbget-bin/www_bget?bmb:BruAb2_0968",NA,"rn:R04365",NA,622,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry25","64","bmb:BruAb1_0327","gene","http://www.kegg.jp/dbget-bin/www_bget?bmb:BruAb1_0327",NA,"rn:R04475",NA,725,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry27","66","bmb:BruAb2_0971","gene","http://www.kegg.jp/dbget-bin/www_bget?bmb:BruAb2_0971",NA,"rn:R02734",NA,778,216,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry28","67","bmb:BruAb1_1908","gene","http://www.kegg.jp/dbget-bin/www_bget?bmb:BruAb1_1908",NA,"rn:R02735",NA,778,290,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry29","68","bmb:BruAb1_1959","gene","http://www.kegg.jp/dbget-bin/www_bget?bmb:BruAb1_1959",NA,"rn:R00451",NA,778,377,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry43","82","bmb:BruAb1_1431","gene","http://www.kegg.jp/dbget-bin/www_bget?bmb:BruAb1_1431",NA,"rn:R02788",NA,851,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
