"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry12","51","ecw:EcE24377A_0088","gene","http://www.kegg.jp/dbget-bin/www_bget?ecw:EcE24377A_0088",NA,"rn:R04617",NA,986,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry16","55","ecw:EcE24377A_0001 / ecw:EcE24377A_4480 / ecw:EcE24377A_4572","gene","http://www.kegg.jp/dbget-bin/www_bget?ecw:EcE24377A_0001+ecw:EcE24377A_4480+ecw:EcE24377A_4572",NA,"rn:R00480",NA,209,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry17","56","ecw:EcE24377A_3912","gene","http://www.kegg.jp/dbget-bin/www_bget?ecw:EcE24377A_3912",NA,"rn:R02291",NA,312,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry18","57","ecw:EcE24377A_0001 / ecw:EcE24377A_4480","gene","http://www.kegg.jp/dbget-bin/www_bget?ecw:EcE24377A_0001+ecw:EcE24377A_4480",NA,"rn:R01773 rn:R01775",NA,366,151,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry19","58","ecw:EcE24377A_2760","gene","http://www.kegg.jp/dbget-bin/www_bget?ecw:EcE24377A_2760",NA,"rn:R10147",NA,415,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry20","59","ecw:EcE24377A_0031","gene","http://www.kegg.jp/dbget-bin/www_bget?ecw:EcE24377A_0031",NA,"rn:R04198 rn:R04199",NA,519,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry23","62","ecw:EcE24377A_0169","gene","http://www.kegg.jp/dbget-bin/www_bget?ecw:EcE24377A_0169",NA,"rn:R04365",NA,622,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry25","64","ecw:EcE24377A_3829","gene","http://www.kegg.jp/dbget-bin/www_bget?ecw:EcE24377A_3829",NA,"rn:R04475",NA,725,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry27","66","ecw:EcE24377A_2751","gene","http://www.kegg.jp/dbget-bin/www_bget?ecw:EcE24377A_2751",NA,"rn:R02734",NA,778,216,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry28","67","ecw:EcE24377A_4328","gene","http://www.kegg.jp/dbget-bin/www_bget?ecw:EcE24377A_4328",NA,"rn:R02735",NA,778,290,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry29","68","ecw:EcE24377A_3158","gene","http://www.kegg.jp/dbget-bin/www_bget?ecw:EcE24377A_3158",NA,"rn:R00451",NA,778,377,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry43","82","ecw:EcE24377A_0087","gene","http://www.kegg.jp/dbget-bin/www_bget?ecw:EcE24377A_0087",NA,"rn:R02788",NA,851,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
