"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry12","51","lmn:LM5578_0935","gene","http://www.kegg.jp/dbget-bin/www_bget?lmn:LM5578_0935",NA,"rn:R04617",NA,986,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry16","55","lmn:LM5578_1308 / lmn:LM5578_1577 / lmn:LM5578_2573","gene","http://www.kegg.jp/dbget-bin/www_bget?lmn:LM5578_1308+lmn:LM5578_1577+lmn:LM5578_2573",NA,"rn:R00480",NA,209,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry17","56","lmn:LM5578_1578","gene","http://www.kegg.jp/dbget-bin/www_bget?lmn:LM5578_1578",NA,"rn:R02291",NA,312,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry18","57","lmn:LM5578_2742","gene","http://www.kegg.jp/dbget-bin/www_bget?lmn:LM5578_2742",NA,"rn:R01773 rn:R01775",NA,366,151,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry19","58","lmn:LM5578_1576","gene","http://www.kegg.jp/dbget-bin/www_bget?lmn:LM5578_1576",NA,"rn:R10147",NA,415,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry20","59","lmn:LM5578_2108","gene","http://www.kegg.jp/dbget-bin/www_bget?lmn:LM5578_2108",NA,"rn:R04198 rn:R04199",NA,519,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry22","61","lmn:LM5578_1093","gene","http://www.kegg.jp/dbget-bin/www_bget?lmn:LM5578_1093",NA,"rn:R04364",NA,642,120,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry24","63","lmn:LM5578_1088","gene","http://www.kegg.jp/dbget-bin/www_bget?lmn:LM5578_1088",NA,"rn:R04467",NA,783,120,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry25","64","lmn:LM5578_1735","gene","http://www.kegg.jp/dbget-bin/www_bget?lmn:LM5578_1735",NA,"rn:R04475",NA,725,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry26","65","lmn:LM5578_1094","gene","http://www.kegg.jp/dbget-bin/www_bget?lmn:LM5578_1094",NA,"rn:R02733",NA,855,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry27","66","lmn:LM5578_0310 / lmn:LM5578_1767","gene","http://www.kegg.jp/dbget-bin/www_bget?lmn:LM5578_0310+lmn:LM5578_1767",NA,"rn:R02734",NA,778,216,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry28","67","lmn:LM5578_2220","gene","http://www.kegg.jp/dbget-bin/www_bget?lmn:LM5578_2220",NA,"rn:R02735",NA,778,290,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry29","68","lmn:LM5578_2153","gene","http://www.kegg.jp/dbget-bin/www_bget?lmn:LM5578_2153",NA,"rn:R00451",NA,778,377,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry43","82","lmn:LM5578_2241","gene","http://www.kegg.jp/dbget-bin/www_bget?lmn:LM5578_2241",NA,"rn:R02788",NA,851,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
