"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry12","46","ses:SARI_02877","gene","http://www.kegg.jp/dbget-bin/www_bget?ses:SARI_02877",NA,"rn:R04617",NA,986,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry16","50","ses:SARI_02990 / ses:SARI_03462 / ses:SARI_03555","gene","http://www.kegg.jp/dbget-bin/www_bget?ses:SARI_02990+ses:SARI_03462+ses:SARI_03555",NA,"rn:R00480",NA,209,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry17","51","ses:SARI_04089","gene","http://www.kegg.jp/dbget-bin/www_bget?ses:SARI_04089",NA,"rn:R02291",NA,312,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry18","52","ses:SARI_02990 / ses:SARI_03555","gene","http://www.kegg.jp/dbget-bin/www_bget?ses:SARI_02990+ses:SARI_03555",NA,"rn:R01773 rn:R01775",NA,366,151,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry19","53","ses:SARI_00393","gene","http://www.kegg.jp/dbget-bin/www_bget?ses:SARI_00393",NA,"rn:R10147",NA,415,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry20","54","ses:SARI_02943","gene","http://www.kegg.jp/dbget-bin/www_bget?ses:SARI_02943",NA,"rn:R04198 rn:R04199",NA,519,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry23","57","ses:SARI_02791","gene","http://www.kegg.jp/dbget-bin/www_bget?ses:SARI_02791",NA,"rn:R04365",NA,622,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry25","59","ses:SARI_04147","gene","http://www.kegg.jp/dbget-bin/www_bget?ses:SARI_04147",NA,"rn:R04475",NA,725,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry27","61","ses:SARI_00399","gene","http://www.kegg.jp/dbget-bin/www_bget?ses:SARI_00399",NA,"rn:R02734",NA,778,216,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry28","62","ses:SARI_03710","gene","http://www.kegg.jp/dbget-bin/www_bget?ses:SARI_03710",NA,"rn:R02735",NA,778,290,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry29","63","ses:SARI_04643","gene","http://www.kegg.jp/dbget-bin/www_bget?ses:SARI_04643",NA,"rn:R00451",NA,778,377,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry43","77","ses:SARI_02878","gene","http://www.kegg.jp/dbget-bin/www_bget?ses:SARI_02878",NA,"rn:R02788",NA,851,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
