"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry12","46","mce:MCAN_21811","gene","http://www.kegg.jp/dbget-bin/www_bget?mce:MCAN_21811",NA,"rn:R04617",NA,986,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry16","50","mce:MCAN_37311","gene","http://www.kegg.jp/dbget-bin/www_bget?mce:MCAN_37311",NA,"rn:R00480",NA,209,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry17","51","mce:MCAN_37301","gene","http://www.kegg.jp/dbget-bin/www_bget?mce:MCAN_37301",NA,"rn:R02291",NA,312,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry18","52","mce:MCAN_13111","gene","http://www.kegg.jp/dbget-bin/www_bget?mce:MCAN_13111",NA,"rn:R01773 rn:R01775",NA,366,151,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry19","53","mce:MCAN_27801","gene","http://www.kegg.jp/dbget-bin/www_bget?mce:MCAN_27801",NA,"rn:R10147",NA,415,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry20","54","mce:MCAN_28011","gene","http://www.kegg.jp/dbget-bin/www_bget?mce:MCAN_28011",NA,"rn:R04198 rn:R04199",NA,519,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry23","57","mce:MCAN_12161","gene","http://www.kegg.jp/dbget-bin/www_bget?mce:MCAN_12161",NA,"rn:R04365",NA,622,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry25","59","mce:MCAN_08601 / mce:MCAN_16641","gene","http://www.kegg.jp/dbget-bin/www_bget?mce:MCAN_08601+mce:MCAN_16641",NA,"rn:R04475",NA,725,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry27","61","mce:MCAN_12171","gene","http://www.kegg.jp/dbget-bin/www_bget?mce:MCAN_12171",NA,"rn:R02734",NA,778,216,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry28","62","mce:MCAN_27521","gene","http://www.kegg.jp/dbget-bin/www_bget?mce:MCAN_27521",NA,"rn:R02735",NA,778,290,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry29","63","mce:MCAN_13101","gene","http://www.kegg.jp/dbget-bin/www_bget?mce:MCAN_13101",NA,"rn:R00451",NA,778,377,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry43","77","mce:MCAN_21821","gene","http://www.kegg.jp/dbget-bin/www_bget?mce:MCAN_21821",NA,"rn:R02788",NA,851,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
