"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry12","51","eclc:ECR091_03625","gene","http://www.kegg.jp/dbget-bin/www_bget?eclc:ECR091_03625",NA,"rn:R04617",NA,986,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry16","55","eclc:ECR091_01590 / eclc:ECR091_03310 / eclc:ECR091_21440","gene","http://www.kegg.jp/dbget-bin/www_bget?eclc:ECR091_01590+eclc:ECR091_03310+eclc:ECR091_21440",NA,"rn:R00480",NA,209,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry17","56","eclc:ECR091_20490","gene","http://www.kegg.jp/dbget-bin/www_bget?eclc:ECR091_20490",NA,"rn:R02291",NA,312,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry18","57","eclc:ECR091_03310 / eclc:ECR091_21440","gene","http://www.kegg.jp/dbget-bin/www_bget?eclc:ECR091_03310+eclc:ECR091_21440",NA,"rn:R01773 rn:R01775",NA,366,151,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry19","58","eclc:ECR091_15575","gene","http://www.kegg.jp/dbget-bin/www_bget?eclc:ECR091_15575",NA,"rn:R10147",NA,415,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry20","59","eclc:ECR091_03410","gene","http://www.kegg.jp/dbget-bin/www_bget?eclc:ECR091_03410",NA,"rn:R04198 rn:R04199",NA,519,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry23","62","eclc:ECR091_04015","gene","http://www.kegg.jp/dbget-bin/www_bget?eclc:ECR091_04015",NA,"rn:R04365",NA,622,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry25","64","eclc:ECR091_20220","gene","http://www.kegg.jp/dbget-bin/www_bget?eclc:ECR091_20220",NA,"rn:R04475",NA,725,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry27","66","eclc:ECR091_15540","gene","http://www.kegg.jp/dbget-bin/www_bget?eclc:ECR091_15540",NA,"rn:R02734",NA,778,216,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry28","67","eclc:ECR091_01095","gene","http://www.kegg.jp/dbget-bin/www_bget?eclc:ECR091_01095",NA,"rn:R02735",NA,778,290,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry29","68","eclc:ECR091_17330","gene","http://www.kegg.jp/dbget-bin/www_bget?eclc:ECR091_17330",NA,"rn:R00451",NA,778,377,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry43","82","eclc:ECR091_03620","gene","http://www.kegg.jp/dbget-bin/www_bget?eclc:ECR091_03620",NA,"rn:R02788",NA,851,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
