"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry12","46","sna:Snas_4015 / sna:Snas_5354","gene","http://www.kegg.jp/dbget-bin/www_bget?sna:Snas_4015+sna:Snas_5354",NA,"rn:R04617",NA,986,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry16","50","sna:Snas_0493","gene","http://www.kegg.jp/dbget-bin/www_bget?sna:Snas_0493",NA,"rn:R00480",NA,209,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry17","51","sna:Snas_0494","gene","http://www.kegg.jp/dbget-bin/www_bget?sna:Snas_0494",NA,"rn:R02291",NA,312,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry18","52","sna:Snas_5546","gene","http://www.kegg.jp/dbget-bin/www_bget?sna:Snas_5546",NA,"rn:R01773 rn:R01775",NA,366,151,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry19","53","sna:Snas_4110 / sna:Snas_4273 / sna:Snas_6099","gene","http://www.kegg.jp/dbget-bin/www_bget?sna:Snas_4110+sna:Snas_4273+sna:Snas_6099",NA,"rn:R10147",NA,415,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry20","54","sna:Snas_5110","gene","http://www.kegg.jp/dbget-bin/www_bget?sna:Snas_5110",NA,"rn:R04198 rn:R04199",NA,519,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry23","57","sna:Snas_5501","gene","http://www.kegg.jp/dbget-bin/www_bget?sna:Snas_5501",NA,"rn:R04365",NA,622,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry25","59","sna:Snas_3065","gene","http://www.kegg.jp/dbget-bin/www_bget?sna:Snas_3065",NA,"rn:R04475",NA,725,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry27","61","sna:Snas_5500","gene","http://www.kegg.jp/dbget-bin/www_bget?sna:Snas_5500",NA,"rn:R02734",NA,778,216,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry28","62","sna:Snas_4570","gene","http://www.kegg.jp/dbget-bin/www_bget?sna:Snas_4570",NA,"rn:R02735",NA,778,290,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry29","63","sna:Snas_3735 / sna:Snas_5547","gene","http://www.kegg.jp/dbget-bin/www_bget?sna:Snas_3735+sna:Snas_5547",NA,"rn:R00451",NA,778,377,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry43","77","sna:Snas_4016","gene","http://www.kegg.jp/dbget-bin/www_bget?sna:Snas_4016",NA,"rn:R02788",NA,851,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
