"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry12","51","flh:EJ997_01580","gene","http://www.kegg.jp/dbget-bin/www_bget?flh:EJ997_01580",NA,"rn:R04617",NA,986,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry16","55","flh:EJ997_10935","gene","http://www.kegg.jp/dbget-bin/www_bget?flh:EJ997_10935",NA,"rn:R00480",NA,209,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry17","56","flh:EJ997_10940","gene","http://www.kegg.jp/dbget-bin/www_bget?flh:EJ997_10940",NA,"rn:R02291",NA,312,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry18","57","flh:EJ997_07025","gene","http://www.kegg.jp/dbget-bin/www_bget?flh:EJ997_07025",NA,"rn:R01773 rn:R01775",NA,366,151,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry19","58","flh:EJ997_01395 / flh:EJ997_07110","gene","http://www.kegg.jp/dbget-bin/www_bget?flh:EJ997_01395+flh:EJ997_07110",NA,"rn:R10147",NA,415,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry20","59","flh:EJ997_01380","gene","http://www.kegg.jp/dbget-bin/www_bget?flh:EJ997_01380",NA,"rn:R04198 rn:R04199",NA,519,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry21","60","flh:EJ997_12780","gene","http://www.kegg.jp/dbget-bin/www_bget?flh:EJ997_12780",NA,"rn:R02755",NA,671,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry25","64","flh:EJ997_04165","gene","http://www.kegg.jp/dbget-bin/www_bget?flh:EJ997_04165",NA,"rn:R04475",NA,725,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry28","67","flh:EJ997_01475","gene","http://www.kegg.jp/dbget-bin/www_bget?flh:EJ997_01475",NA,"rn:R02735",NA,778,290,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry29","68","flh:EJ997_07030","gene","http://www.kegg.jp/dbget-bin/www_bget?flh:EJ997_07030",NA,"rn:R00451",NA,778,377,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry43","82","flh:EJ997_01575","gene","http://www.kegg.jp/dbget-bin/www_bget?flh:EJ997_01575",NA,"rn:R02788",NA,851,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
