"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","34","chu:CHU_0765","gene","http://www.kegg.jp/dbget-bin/www_bget?chu:CHU_0765",NA,"rn:R07613",NA,671,252,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry12","46","chu:CHU_0699","gene","http://www.kegg.jp/dbget-bin/www_bget?chu:CHU_0699",NA,"rn:R04617",NA,986,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry16","50","chu:CHU_0073 / chu:CHU_3721","gene","http://www.kegg.jp/dbget-bin/www_bget?chu:CHU_0073+chu:CHU_3721",NA,"rn:R00480",NA,209,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry17","51","chu:CHU_0139","gene","http://www.kegg.jp/dbget-bin/www_bget?chu:CHU_0139",NA,"rn:R02291",NA,312,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry18","52","chu:CHU_0073","gene","http://www.kegg.jp/dbget-bin/www_bget?chu:CHU_0073",NA,"rn:R01773 rn:R01775",NA,366,151,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry19","53","chu:CHU_1312","gene","http://www.kegg.jp/dbget-bin/www_bget?chu:CHU_1312",NA,"rn:R10147",NA,415,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry20","54","chu:CHU_2563","gene","http://www.kegg.jp/dbget-bin/www_bget?chu:CHU_2563",NA,"rn:R04198 rn:R04199",NA,519,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry23","57","chu:CHU_2022","gene","http://www.kegg.jp/dbget-bin/www_bget?chu:CHU_2022",NA,"rn:R04365",NA,622,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry25","59","chu:CHU_3083","gene","http://www.kegg.jp/dbget-bin/www_bget?chu:CHU_3083",NA,"rn:R04475",NA,725,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry28","62","chu:CHU_0127","gene","http://www.kegg.jp/dbget-bin/www_bget?chu:CHU_0127",NA,"rn:R02735",NA,778,290,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry29","63","chu:CHU_3289","gene","http://www.kegg.jp/dbget-bin/www_bget?chu:CHU_3289",NA,"rn:R00451",NA,778,377,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry30","64","chu:CHU_2707","gene","http://www.kegg.jp/dbget-bin/www_bget?chu:CHU_2707",NA,"rn:R00715",NA,730,433,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry34","68","chu:CHU_0708","gene","http://www.kegg.jp/dbget-bin/www_bget?chu:CHU_0708",NA,"rn:R01939",NA,357,494,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
"entry43","77","chu:CHU_2745","gene","http://www.kegg.jp/dbget-bin/www_bget?chu:CHU_2745",NA,"rn:R02788",NA,851,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00300"
