"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry9","79","pau:PA14_19740 / pau:PA14_25080 / pau:PA14_40980 / pau:PA14_41950 / pau:PA14_42080","gene","http://www.kegg.jp/dbget-bin/www_bget?pau:PA14_19740+pau:PA14_25080+pau:PA14_40980+pau:PA14_41950+pau:PA14_42080",NA,"rn:R03026",NA,958,401,"rectangle",46,17,"#000000","#BFFFBF",1,"00310"
"entry10","80","pau:PA14_25080 / pau:PA14_42080","gene","http://www.kegg.jp/dbget-bin/www_bget?pau:PA14_25080+pau:PA14_42080",NA,"rn:R01975",NA,1070,401,"rectangle",46,17,"#000000","#BFFFBF",1,"00310"
"entry11","82","pau:PA14_48020","gene","http://www.kegg.jp/dbget-bin/www_bget?pau:PA14_48020",NA,"rn:R02203",NA,669,257,"rectangle",46,17,"#000000","#BFFFBF",1,"00310"
"entry17","90","pau:PA14_35490 / pau:PA14_43970 / pau:PA14_44000 / pau:PA14_63850","gene","http://www.kegg.jp/dbget-bin/www_bget?pau:PA14_35490+pau:PA14_43970+pau:PA14_44000+pau:PA14_63850",NA,"rn:R01933",NA,819,324,"rectangle",46,17,"#000000","#BFFFBF",1,"00310"
"entry18","91","pau:PA14_13090 / pau:PA14_17880 / pau:PA14_31530 / pau:PA14_38630 / pau:PA14_42090 / pau:PA14_63250","gene","http://www.kegg.jp/dbget-bin/www_bget?pau:PA14_13090+pau:PA14_17880+pau:PA14_31530+pau:PA14_38630+pau:PA14_42090+pau:PA14_63250",NA,"rn:R00238",NA,1168,401,"rectangle",46,17,"#000000","#BFFFBF",1,"00310"
"entry20","93","pau:PA14_05840","gene","http://www.kegg.jp/dbget-bin/www_bget?pau:PA14_05840",NA,"rn:R02488",NA,861,401,"rectangle",46,17,"#000000","#BFFFBF",1,"00310"
"entry21","95","pau:PA14_03430","gene","http://www.kegg.jp/dbget-bin/www_bget?pau:PA14_03430",NA,"rn:R02401",NA,638,401,"rectangle",46,17,"#000000","#BFFFBF",1,"00310"
"entry22","96","pau:PA14_03450","gene","http://www.kegg.jp/dbget-bin/www_bget?pau:PA14_03450",NA,"rn:R02274",NA,518,401,"rectangle",46,17,"#000000","#BFFFBF",1,"00310"
"entry69","151","pau:PA14_51050 / pau:PA14_64740","gene","http://www.kegg.jp/dbget-bin/www_bget?pau:PA14_51050+pau:PA14_64740",NA,"rn:R03283",NA,868,709,"rectangle",46,17,"#000000","#BFFFBF",1,"00310"
"entry111","193","pau:PA14_35880","gene","http://www.kegg.jp/dbget-bin/www_bget?pau:PA14_35880",NA,"rn:R12215",NA,455,455,"rectangle",46,17,"#000000","#BFFFBF",1,"00310"
