"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry18","66","lcc:B488_08390","gene","http://www.kegg.jp/dbget-bin/www_bget?lcc:B488_08390",NA,"rn:R01986 rn:R02549",NA,609,860,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry24","73","lcc:B488_08390","gene","http://www.kegg.jp/dbget-bin/www_bget?lcc:B488_08390",NA,"rn:R05050",NA,444,779,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry38","105","lcc:B488_11980","gene","http://www.kegg.jp/dbget-bin/www_bget?lcc:B488_11980",NA,"rn:R01884",NA,560,160,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry41","113","lcc:B488_12960","gene","http://www.kegg.jp/dbget-bin/www_bget?lcc:B488_12960",NA,"rn:R09081",NA,838,775,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry44","117","lcc:B488_12960","gene","http://www.kegg.jp/dbget-bin/www_bget?lcc:B488_12960",NA,"rn:R09082",NA,761,775,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry74","173","lcc:B488_12440","gene","http://www.kegg.jp/dbget-bin/www_bget?lcc:B488_12440",NA,"rn:R01248 rn:R01251",NA,926,326,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry77","176","lcc:B488_12080","gene","http://www.kegg.jp/dbget-bin/www_bget?lcc:B488_12080",NA,"rn:R00239",NA,755,166,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry78","177","lcc:B488_12090","gene","http://www.kegg.jp/dbget-bin/www_bget?lcc:B488_12090",NA,"rn:R03313",NA,756,266,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry88","206","lcc:B488_12440","gene","http://www.kegg.jp/dbget-bin/www_bget?lcc:B488_12440",NA,"rn:R03291 rn:R03293",NA,1171,298,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry91","209","lcc:B488_11550","gene","http://www.kegg.jp/dbget-bin/www_bget?lcc:B488_11550",NA,"rn:R05052",NA,1336,427,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry106","236","lcc:B488_09190","gene","http://www.kegg.jp/dbget-bin/www_bget?lcc:B488_09190",NA,"rn:R00670",NA,609,367,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
