"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry7","53","azc:AZC_2578 / azc:AZC_3312","gene","http://www.kegg.jp/dbget-bin/www_bget?azc:AZC_2578+azc:AZC_3312",NA,"rn:R03180",NA,267,788,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry9","56","azc:AZC_4441","gene","http://www.kegg.jp/dbget-bin/www_bget?azc:AZC_4441",NA,"rn:R07415",NA,353,714,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry13","61","azc:AZC_3142","gene","http://www.kegg.jp/dbget-bin/www_bget?azc:AZC_3142",NA,"rn:R08714",NA,634,761,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry18","66","azc:AZC_1789 / azc:AZC_2036 / azc:AZC_4177","gene","http://www.kegg.jp/dbget-bin/www_bget?azc:AZC_1789+azc:AZC_2036+azc:AZC_4177",NA,"rn:R01986 rn:R02549",NA,609,860,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry23","72","azc:AZC_3405 / azc:AZC_4484","gene","http://www.kegg.jp/dbget-bin/www_bget?azc:AZC_3405+azc:AZC_4484",NA,"rn:R04025",NA,444,714,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry24","73","azc:AZC_1789 / azc:AZC_2036 / azc:AZC_4177","gene","http://www.kegg.jp/dbget-bin/www_bget?azc:AZC_1789+azc:AZC_2036+azc:AZC_4177",NA,"rn:R05050",NA,444,779,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry35","101","azc:AZC_2464","gene","http://www.kegg.jp/dbget-bin/www_bget?azc:AZC_2464",NA,"rn:R01563",NA,495,278,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry36","103","azc:AZC_1796 / azc:AZC_1797 / azc:AZC_2116 / azc:AZC_2117 / azc:AZC_2354 / azc:AZC_2355 / azc:AZC_3039 / azc:AZC_3040","gene","http://www.kegg.jp/dbget-bin/www_bget?azc:AZC_1796+azc:AZC_1797+azc:AZC_2116+azc:AZC_2117+azc:AZC_2354+azc:AZC_2355+azc:AZC_3039+azc:AZC_3040",NA,"rn:R03187",NA,627,278,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry46","126","azc:AZC_0983","gene","http://www.kegg.jp/dbget-bin/www_bget?azc:AZC_0983",NA,"rn:R00566",NA,294,367,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry47","127","azc:AZC_1206","gene","http://www.kegg.jp/dbget-bin/www_bget?azc:AZC_1206",NA,"rn:R01157",NA,441,448,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry74","173","azc:AZC_3979","gene","http://www.kegg.jp/dbget-bin/www_bget?azc:AZC_3979",NA,"rn:R01248 rn:R01251",NA,926,326,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry75","174","azc:AZC_0031","gene","http://www.kegg.jp/dbget-bin/www_bget?azc:AZC_0031",NA,"rn:R01253 rn:R10507",NA,926,297,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry76","175","azc:AZC_0031","gene","http://www.kegg.jp/dbget-bin/www_bget?azc:AZC_0031",NA,"rn:R00245",NA,799,201,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry77","176","azc:AZC_4139","gene","http://www.kegg.jp/dbget-bin/www_bget?azc:AZC_4139",NA,"rn:R00239",NA,755,166,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry78","177","azc:AZC_4138","gene","http://www.kegg.jp/dbget-bin/www_bget?azc:AZC_4138",NA,"rn:R03313",NA,756,266,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry79","179","azc:AZC_2010","gene","http://www.kegg.jp/dbget-bin/www_bget?azc:AZC_2010",NA,"rn:R00671",NA,795,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry80","181","azc:AZC_0031","gene","http://www.kegg.jp/dbget-bin/www_bget?azc:AZC_0031",NA,"rn:R00707 rn:R00708",NA,858,201,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry88","206","azc:AZC_3979","gene","http://www.kegg.jp/dbget-bin/www_bget?azc:AZC_3979",NA,"rn:R03291 rn:R03293",NA,1171,298,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry89","207","azc:AZC_0031","gene","http://www.kegg.jp/dbget-bin/www_bget?azc:AZC_0031",NA,"rn:R04444 rn:R04445",NA,1278,326,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry90","208","azc:AZC_0031","gene","http://www.kegg.jp/dbget-bin/www_bget?azc:AZC_0031",NA,"rn:R05051",NA,1278,392,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry91","209","azc:AZC_3132","gene","http://www.kegg.jp/dbget-bin/www_bget?azc:AZC_3132",NA,"rn:R05052",NA,1336,427,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry92","210","azc:AZC_1963","gene","http://www.kegg.jp/dbget-bin/www_bget?azc:AZC_1963",NA,"rn:R05053",NA,1310,446,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry106","236","azc:AZC_0333 / azc:AZC_3019","gene","http://www.kegg.jp/dbget-bin/www_bget?azc:AZC_0333+azc:AZC_3019",NA,"rn:R00670",NA,609,367,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
