"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","47","pswu:SY83_02435","gene","http://www.kegg.jp/dbget-bin/www_bget?pswu:SY83_02435",NA,"rn:R00551",NA,441,327,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry18","66","pswu:SY83_17375 / pswu:SY83_19865 / pswu:SY83_19875","gene","http://www.kegg.jp/dbget-bin/www_bget?pswu:SY83_17375+pswu:SY83_19865+pswu:SY83_19875",NA,"rn:R01986 rn:R02549",NA,609,860,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry19","67","pswu:SY83_04400 / pswu:SY83_06010","gene","http://www.kegg.jp/dbget-bin/www_bget?pswu:SY83_04400+pswu:SY83_06010",NA,"rn:R01920",NA,961,792,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry20","68","pswu:SY83_01900 / pswu:SY83_13735","gene","http://www.kegg.jp/dbget-bin/www_bget?pswu:SY83_01900+pswu:SY83_13735",NA,"rn:R00178",NA,1004,701,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry24","73","pswu:SY83_17375 / pswu:SY83_19865 / pswu:SY83_19875","gene","http://www.kegg.jp/dbget-bin/www_bget?pswu:SY83_17375+pswu:SY83_19865+pswu:SY83_19875",NA,"rn:R05050",NA,444,779,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry37","104","pswu:SY83_10070","gene","http://www.kegg.jp/dbget-bin/www_bget?pswu:SY83_10070",NA,"rn:R02922",NA,689,232,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry38","105","pswu:SY83_02190 / pswu:SY83_13490","gene","http://www.kegg.jp/dbget-bin/www_bget?pswu:SY83_02190+pswu:SY83_13490",NA,"rn:R01884",NA,560,160,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry46","126","pswu:SY83_15325","gene","http://www.kegg.jp/dbget-bin/www_bget?pswu:SY83_15325",NA,"rn:R00566",NA,294,367,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry47","127","pswu:SY83_06005 / pswu:SY83_07920","gene","http://www.kegg.jp/dbget-bin/www_bget?pswu:SY83_06005+pswu:SY83_07920",NA,"rn:R01157",NA,441,448,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry64","155","pswu:SY83_12360","gene","http://www.kegg.jp/dbget-bin/www_bget?pswu:SY83_12360",NA,"rn:R11712",NA,190,369,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry65","156","pswu:SY83_12360","gene","http://www.kegg.jp/dbget-bin/www_bget?pswu:SY83_12360",NA,"rn:R11713",NA,190,449,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry73","172","pswu:SY83_02420","gene","http://www.kegg.jp/dbget-bin/www_bget?pswu:SY83_02420",NA,"rn:R00667",NA,683,327,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry74","173","pswu:SY83_18310","gene","http://www.kegg.jp/dbget-bin/www_bget?pswu:SY83_18310",NA,"rn:R01248 rn:R01251",NA,926,326,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry75","174","pswu:SY83_22110","gene","http://www.kegg.jp/dbget-bin/www_bget?pswu:SY83_22110",NA,"rn:R01253 rn:R10507",NA,926,297,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry76","175","pswu:SY83_02410","gene","http://www.kegg.jp/dbget-bin/www_bget?pswu:SY83_02410",NA,"rn:R00245",NA,799,201,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry77","176","pswu:SY83_18300","gene","http://www.kegg.jp/dbget-bin/www_bget?pswu:SY83_18300",NA,"rn:R00239",NA,755,166,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry78","177","pswu:SY83_18305","gene","http://www.kegg.jp/dbget-bin/www_bget?pswu:SY83_18305",NA,"rn:R03313",NA,756,266,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry80","181","pswu:SY83_02410","gene","http://www.kegg.jp/dbget-bin/www_bget?pswu:SY83_02410",NA,"rn:R00707 rn:R00708",NA,858,201,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry88","206","pswu:SY83_18310","gene","http://www.kegg.jp/dbget-bin/www_bget?pswu:SY83_18310",NA,"rn:R03291 rn:R03293",NA,1171,298,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry89","207","pswu:SY83_02410","gene","http://www.kegg.jp/dbget-bin/www_bget?pswu:SY83_02410",NA,"rn:R04444 rn:R04445",NA,1278,326,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry90","208","pswu:SY83_02410","gene","http://www.kegg.jp/dbget-bin/www_bget?pswu:SY83_02410",NA,"rn:R05051",NA,1278,392,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
