"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","47","cmi:CMM_1134","gene","http://www.kegg.jp/dbget-bin/www_bget?cmi:CMM_1134",NA,"rn:R00551",NA,441,327,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry7","53","cmi:CMM_1127","gene","http://www.kegg.jp/dbget-bin/www_bget?cmi:CMM_1127",NA,"rn:R03180",NA,267,788,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry73","172","cmi:CMM_0630","gene","http://www.kegg.jp/dbget-bin/www_bget?cmi:CMM_0630",NA,"rn:R00667",NA,683,327,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry74","173","cmi:CMM_0544","gene","http://www.kegg.jp/dbget-bin/www_bget?cmi:CMM_0544",NA,"rn:R01248 rn:R01251",NA,926,326,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry75","174","cmi:CMM_0619","gene","http://www.kegg.jp/dbget-bin/www_bget?cmi:CMM_0619",NA,"rn:R01253 rn:R10507",NA,926,297,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry76","175","cmi:CMM_0619","gene","http://www.kegg.jp/dbget-bin/www_bget?cmi:CMM_0619",NA,"rn:R00245",NA,799,201,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry77","176","cmi:CMM_1492","gene","http://www.kegg.jp/dbget-bin/www_bget?cmi:CMM_1492",NA,"rn:R00239",NA,755,166,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry78","177","cmi:CMM_1493","gene","http://www.kegg.jp/dbget-bin/www_bget?cmi:CMM_1493",NA,"rn:R03313",NA,756,266,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry80","181","cmi:CMM_0619","gene","http://www.kegg.jp/dbget-bin/www_bget?cmi:CMM_0619",NA,"rn:R00707 rn:R00708",NA,858,201,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry88","206","cmi:CMM_0544","gene","http://www.kegg.jp/dbget-bin/www_bget?cmi:CMM_0544",NA,"rn:R03291 rn:R03293",NA,1171,298,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry89","207","cmi:CMM_0619","gene","http://www.kegg.jp/dbget-bin/www_bget?cmi:CMM_0619",NA,"rn:R04444 rn:R04445",NA,1278,326,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry90","208","cmi:CMM_0619","gene","http://www.kegg.jp/dbget-bin/www_bget?cmi:CMM_0619",NA,"rn:R05051",NA,1278,392,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry96","223","cmi:CMM_0811","gene","http://www.kegg.jp/dbget-bin/www_bget?cmi:CMM_0811",NA,"rn:R01255",NA,998,443,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry104","233","cmi:CMM_0804 / cmi:CMM_0817","gene","http://www.kegg.jp/dbget-bin/www_bget?cmi:CMM_0804+cmi:CMM_0817",NA,"rn:R00135",NA,1035,370,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
