"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry5","51","kqv:B8P98_06340","gene","http://www.kegg.jp/dbget-bin/www_bget?kqv:B8P98_06340",NA,"rn:R01990",NA,318,933,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry8","55","kqv:B8P98_18165","gene","http://www.kegg.jp/dbget-bin/www_bget?kqv:B8P98_18165",NA,"rn:R07414",NA,353,652,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry9","56","kqv:B8P98_18185","gene","http://www.kegg.jp/dbget-bin/www_bget?kqv:B8P98_18185",NA,"rn:R07415",NA,353,714,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry10","57","kqv:B8P98_18180","gene","http://www.kegg.jp/dbget-bin/www_bget?kqv:B8P98_18180",NA,"rn:R07417 rn:R07418",NA,353,779,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry11","58","kqv:B8P98_18170","gene","http://www.kegg.jp/dbget-bin/www_bget?kqv:B8P98_18170",NA,"rn:R07419",NA,353,849,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry15","63","kqv:B8P98_03285","gene","http://www.kegg.jp/dbget-bin/www_bget?kqv:B8P98_03285",NA,"rn:R01155",NA,584,761,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry17","65","kqv:B8P98_12870","gene","http://www.kegg.jp/dbget-bin/www_bget?kqv:B8P98_12870",NA,"rn:R02549",NA,584,879,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry19","67","kqv:B8P98_23090","gene","http://www.kegg.jp/dbget-bin/www_bget?kqv:B8P98_23090",NA,"rn:R01920",NA,961,792,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry20","68","kqv:B8P98_23095","gene","http://www.kegg.jp/dbget-bin/www_bget?kqv:B8P98_23095",NA,"rn:R00178",NA,1004,701,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
"entry22","70","kqv:B8P98_14575","gene","http://www.kegg.jp/dbget-bin/www_bget?kqv:B8P98_14575",NA,"rn:R01154",NA,419,652,"rectangle",46,17,"#000000","#BFFFBF",1,"00330"
