"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","39","xar:XB05_03265","gene","http://www.kegg.jp/dbget-bin/www_bget?xar:XB05_03265",NA,"rn:R02286",NA,885,560,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry1","40","xar:XB05_03250","gene","http://www.kegg.jp/dbget-bin/www_bget?xar:XB05_03250",NA,"rn:R00525",NA,944,599,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry4","43","xar:XB05_03260","gene","http://www.kegg.jp/dbget-bin/www_bget?xar:XB05_03260",NA,"rn:R02288",NA,829,518,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry5","44","xar:XB05_03245","gene","http://www.kegg.jp/dbget-bin/www_bget?xar:XB05_03245",NA,"rn:R02914",NA,829,445,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry6","45","xar:XB05_03255","gene","http://www.kegg.jp/dbget-bin/www_bget?xar:XB05_03255",NA,"rn:R01168",NA,829,373,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry10","53","xar:XB05_04095 / xar:XB05_21260","gene","http://www.kegg.jp/dbget-bin/www_bget?xar:XB05_04095+xar:XB05_21260",NA,"rn:R04065",NA,422,341,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry11","54","xar:XB05_11760","gene","http://www.kegg.jp/dbget-bin/www_bget?xar:XB05_11760",NA,"rn:R04674",NA,574,445,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry16","59","xar:XB05_04265","gene","http://www.kegg.jp/dbget-bin/www_bget?xar:XB05_04265",NA,"rn:R01071",NA,147,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry17","60","xar:XB05_04270","gene","http://www.kegg.jp/dbget-bin/www_bget?xar:XB05_04270",NA,"rn:R01163",NA,848,273,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry18","61","xar:XB05_04270","gene","http://www.kegg.jp/dbget-bin/www_bget?xar:XB05_04270",NA,"rn:R03012",NA,829,168,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry19","62","xar:XB05_04280","gene","http://www.kegg.jp/dbget-bin/www_bget?xar:XB05_04280",NA,"rn:R03013",NA,782,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry20","63","xar:XB05_03195 / xar:XB05_04275 / xar:XB05_11745","gene","http://www.kegg.jp/dbget-bin/www_bget?xar:XB05_03195+xar:XB05_04275+xar:XB05_11745",NA,"rn:R03243",NA,695,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry21","64","xar:XB05_04280","gene","http://www.kegg.jp/dbget-bin/www_bget?xar:XB05_04280",NA,"rn:R03457",NA,605,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry23","66","xar:XB05_04290","gene","http://www.kegg.jp/dbget-bin/www_bget?xar:XB05_04290",NA,"rn:R04640",NA,409,135,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry24","67","xar:XB05_04300","gene","http://www.kegg.jp/dbget-bin/www_bget?xar:XB05_04300",NA,"rn:R04037",NA,321,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry25","68","xar:XB05_04300","gene","http://www.kegg.jp/dbget-bin/www_bget?xar:XB05_04300",NA,"rn:R04035",NA,234,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry27","70","xar:XB05_04285 / xar:XB05_04295","gene","http://www.kegg.jp/dbget-bin/www_bget?xar:XB05_04285+xar:XB05_04295",NA,"rn:R04558",NA,500,135,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
