"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry2","40","vcf:IR04_11335","gene","http://www.kegg.jp/dbget-bin/www_bget?vcf:IR04_11335",NA,"rn:R02285",NA,806,609,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry4","42","vcf:IR04_11340","gene","http://www.kegg.jp/dbget-bin/www_bget?vcf:IR04_11340",NA,"rn:R02288",NA,829,518,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry5","43","vcf:IR04_11330","gene","http://www.kegg.jp/dbget-bin/www_bget?vcf:IR04_11330",NA,"rn:R02914",NA,829,445,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry6","44","vcf:IR04_11325","gene","http://www.kegg.jp/dbget-bin/www_bget?vcf:IR04_11325",NA,"rn:R01168",NA,829,373,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry16","58","vcf:IR04_10985","gene","http://www.kegg.jp/dbget-bin/www_bget?vcf:IR04_10985",NA,"rn:R01071",NA,147,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry17","59","vcf:IR04_10990","gene","http://www.kegg.jp/dbget-bin/www_bget?vcf:IR04_10990",NA,"rn:R01163",NA,848,273,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry18","60","vcf:IR04_10990","gene","http://www.kegg.jp/dbget-bin/www_bget?vcf:IR04_10990",NA,"rn:R03012",NA,829,168,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry19","61","vcf:IR04_11000","gene","http://www.kegg.jp/dbget-bin/www_bget?vcf:IR04_11000",NA,"rn:R03013",NA,782,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry20","62","vcf:IR04_10995","gene","http://www.kegg.jp/dbget-bin/www_bget?vcf:IR04_10995",NA,"rn:R03243",NA,695,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry21","63","vcf:IR04_11000","gene","http://www.kegg.jp/dbget-bin/www_bget?vcf:IR04_11000",NA,"rn:R03457",NA,605,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry23","65","vcf:IR04_11010","gene","http://www.kegg.jp/dbget-bin/www_bget?vcf:IR04_11010",NA,"rn:R04640",NA,409,135,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry24","66","vcf:IR04_11020","gene","http://www.kegg.jp/dbget-bin/www_bget?vcf:IR04_11020",NA,"rn:R04037",NA,321,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry25","67","vcf:IR04_11020","gene","http://www.kegg.jp/dbget-bin/www_bget?vcf:IR04_11020",NA,"rn:R04035",NA,234,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry27","69","vcf:IR04_11005 / vcf:IR04_11015","gene","http://www.kegg.jp/dbget-bin/www_bget?vcf:IR04_11005+vcf:IR04_11015",NA,"rn:R04558",NA,500,135,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
