"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry2","41","pso:PSYCG_10515","gene","http://www.kegg.jp/dbget-bin/www_bget?pso:PSYCG_10515",NA,"rn:R02285",NA,806,609,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry4","43","pso:PSYCG_10520","gene","http://www.kegg.jp/dbget-bin/www_bget?pso:PSYCG_10520",NA,"rn:R02288",NA,829,518,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry5","44","pso:PSYCG_10500","gene","http://www.kegg.jp/dbget-bin/www_bget?pso:PSYCG_10500",NA,"rn:R02914",NA,829,445,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry6","45","pso:PSYCG_10510","gene","http://www.kegg.jp/dbget-bin/www_bget?pso:PSYCG_10510",NA,"rn:R01168",NA,829,373,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry10","53","pso:PSYCG_04970 / pso:PSYCG_05320","gene","http://www.kegg.jp/dbget-bin/www_bget?pso:PSYCG_04970+pso:PSYCG_05320",NA,"rn:R04065",NA,422,341,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry11","54","pso:PSYCG_05920 / pso:PSYCG_09475","gene","http://www.kegg.jp/dbget-bin/www_bget?pso:PSYCG_05920+pso:PSYCG_09475",NA,"rn:R04674",NA,574,445,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry16","59","pso:PSYCG_03520 / pso:PSYCG_11860","gene","http://www.kegg.jp/dbget-bin/www_bget?pso:PSYCG_03520+pso:PSYCG_11860",NA,"rn:R01071",NA,147,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry17","60","pso:PSYCG_11855","gene","http://www.kegg.jp/dbget-bin/www_bget?pso:PSYCG_11855",NA,"rn:R01163",NA,848,273,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry18","61","pso:PSYCG_11855","gene","http://www.kegg.jp/dbget-bin/www_bget?pso:PSYCG_11855",NA,"rn:R03012",NA,829,168,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry20","63","pso:PSYCG_04205 / pso:PSYCG_06315 / pso:PSYCG_11850","gene","http://www.kegg.jp/dbget-bin/www_bget?pso:PSYCG_04205+pso:PSYCG_06315+pso:PSYCG_11850",NA,"rn:R03243",NA,695,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry21","64","pso:PSYCG_13220","gene","http://www.kegg.jp/dbget-bin/www_bget?pso:PSYCG_13220",NA,"rn:R03457",NA,605,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry23","66","pso:PSYCG_13125","gene","http://www.kegg.jp/dbget-bin/www_bget?pso:PSYCG_13125",NA,"rn:R04640",NA,409,135,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry24","67","pso:PSYCG_12440","gene","http://www.kegg.jp/dbget-bin/www_bget?pso:PSYCG_12440",NA,"rn:R04037",NA,321,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry25","68","pso:PSYCG_12440","gene","http://www.kegg.jp/dbget-bin/www_bget?pso:PSYCG_12440",NA,"rn:R04035",NA,234,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry27","70","pso:PSYCG_12865 / pso:PSYCG_13215","gene","http://www.kegg.jp/dbget-bin/www_bget?pso:PSYCG_12865+pso:PSYCG_13215",NA,"rn:R04558",NA,500,135,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
