"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","39","bpar:BN117_0599","gene","http://www.kegg.jp/dbget-bin/www_bget?bpar:BN117_0599",NA,"rn:R00525",NA,944,599,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry2","40","bpar:BN117_2478","gene","http://www.kegg.jp/dbget-bin/www_bget?bpar:BN117_2478",NA,"rn:R02285",NA,806,609,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry10","52","bpar:BN117_0635 / bpar:BN117_1325 / bpar:BN117_3652 / bpar:BN117_4512","gene","http://www.kegg.jp/dbget-bin/www_bget?bpar:BN117_0635+bpar:BN117_1325+bpar:BN117_3652+bpar:BN117_4512",NA,"rn:R04065",NA,422,341,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry16","58","bpar:BN117_2918 / bpar:BN117_4399","gene","http://www.kegg.jp/dbget-bin/www_bget?bpar:BN117_2918+bpar:BN117_4399",NA,"rn:R01071",NA,147,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry17","59","bpar:BN117_4400","gene","http://www.kegg.jp/dbget-bin/www_bget?bpar:BN117_4400",NA,"rn:R01163",NA,848,273,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry18","60","bpar:BN117_4400","gene","http://www.kegg.jp/dbget-bin/www_bget?bpar:BN117_4400",NA,"rn:R03012",NA,829,168,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry20","62","bpar:BN117_2923 / bpar:BN117_4401","gene","http://www.kegg.jp/dbget-bin/www_bget?bpar:BN117_2923+bpar:BN117_4401",NA,"rn:R03243",NA,695,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry21","63","bpar:BN117_4402","gene","http://www.kegg.jp/dbget-bin/www_bget?bpar:BN117_4402",NA,"rn:R03457",NA,605,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry23","65","bpar:BN117_4404","gene","http://www.kegg.jp/dbget-bin/www_bget?bpar:BN117_4404",NA,"rn:R04640",NA,409,135,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry24","66","bpar:BN117_4406","gene","http://www.kegg.jp/dbget-bin/www_bget?bpar:BN117_4406",NA,"rn:R04037",NA,321,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry25","67","bpar:BN117_4407","gene","http://www.kegg.jp/dbget-bin/www_bget?bpar:BN117_4407",NA,"rn:R04035",NA,234,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry27","69","bpar:BN117_4403 / bpar:BN117_4405","gene","http://www.kegg.jp/dbget-bin/www_bget?bpar:BN117_4403+bpar:BN117_4405",NA,"rn:R04558",NA,500,135,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
