"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry2","40","chn:A605_05865","gene","http://www.kegg.jp/dbget-bin/www_bget?chn:A605_05865",NA,"rn:R02285",NA,806,609,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry10","52","chn:A605_00840","gene","http://www.kegg.jp/dbget-bin/www_bget?chn:A605_00840",NA,"rn:R04065",NA,422,341,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry16","58","chn:A605_07400","gene","http://www.kegg.jp/dbget-bin/www_bget?chn:A605_07400",NA,"rn:R01071",NA,147,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry17","59","chn:A605_09205","gene","http://www.kegg.jp/dbget-bin/www_bget?chn:A605_09205",NA,"rn:R01163",NA,848,273,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry18","60","chn:A605_09205","gene","http://www.kegg.jp/dbget-bin/www_bget?chn:A605_09205",NA,"rn:R03012",NA,829,168,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry19","61","chn:A605_03920","gene","http://www.kegg.jp/dbget-bin/www_bget?chn:A605_03920",NA,"rn:R03013",NA,782,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry20","62","chn:A605_01385 / chn:A605_09200","gene","http://www.kegg.jp/dbget-bin/www_bget?chn:A605_01385+chn:A605_09200",NA,"rn:R03243",NA,695,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry21","63","chn:A605_09195","gene","http://www.kegg.jp/dbget-bin/www_bget?chn:A605_09195",NA,"rn:R03457",NA,605,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry23","65","chn:A605_09170","gene","http://www.kegg.jp/dbget-bin/www_bget?chn:A605_09170",NA,"rn:R04640",NA,409,135,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry24","66","chn:A605_09155","gene","http://www.kegg.jp/dbget-bin/www_bget?chn:A605_09155",NA,"rn:R04037",NA,321,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry25","67","chn:A605_07405","gene","http://www.kegg.jp/dbget-bin/www_bget?chn:A605_07405",NA,"rn:R04035",NA,234,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
"entry27","69","chn:A605_09160 / chn:A605_09175","gene","http://www.kegg.jp/dbget-bin/www_bget?chn:A605_09160+chn:A605_09175",NA,"rn:R04558",NA,500,135,"rectangle",46,17,"#000000","#BFFFBF",1,"00340"
