"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry11","59","pdk:PADK2_12895","gene","http://www.kegg.jp/dbget-bin/www_bget?pdk:PADK2_12895",NA,"rn:R02656",NA,629,596,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry12","62","pdk:PADK2_12880 / pdk:PADK2_15615","gene","http://www.kegg.jp/dbget-bin/www_bget?pdk:PADK2_12880+pdk:PADK2_15615",NA,"rn:R03181",NA,500,636,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry13","63","pdk:PADK2_15605","gene","http://www.kegg.jp/dbget-bin/www_bget?pdk:PADK2_15605",NA,"rn:R02519",NA,500,541,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry15","65","pdk:PADK2_03865 / pdk:PADK2_03870","gene","http://www.kegg.jp/dbget-bin/www_bget?pdk:PADK2_03865+pdk:PADK2_03870",NA,"rn:R02698",NA,218,502,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry18","68","pdk:PADK2_01200 / pdk:PADK2_21375","gene","http://www.kegg.jp/dbget-bin/www_bget?pdk:PADK2_01200+pdk:PADK2_21375",NA,"rn:R02521",NA,500,453,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry20","74","pdk:PADK2_02120","gene","http://www.kegg.jp/dbget-bin/www_bget?pdk:PADK2_02120",NA,"rn:R02382",NA,299,350,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry28","84","pdk:PADK2_03865 / pdk:PADK2_03870","gene","http://www.kegg.jp/dbget-bin/www_bget?pdk:PADK2_03865+pdk:PADK2_03870",NA,"rn:R03299",NA,125,501,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry30","86","pdk:PADK2_15825","gene","http://www.kegg.jp/dbget-bin/www_bget?pdk:PADK2_15825",NA,"rn:R04379",NA,174,665,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry34","90","pdk:PADK2_01315","gene","http://www.kegg.jp/dbget-bin/www_bget?pdk:PADK2_01315",NA,"rn:R00713 rn:R00714",NA,382,846,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry45","104","pdk:PADK2_08510 / pdk:PADK2_12585 / pdk:PADK2_23165","gene","http://www.kegg.jp/dbget-bin/www_bget?pdk:PADK2_08510+pdk:PADK2_12585+pdk:PADK2_23165",NA,"rn:R00734",NA,475,328,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry46","105","pdk:PADK2_08635 / pdk:PADK2_21350","gene","http://www.kegg.jp/dbget-bin/www_bget?pdk:PADK2_08635+pdk:PADK2_21350",NA,"rn:R00734",NA,525,328,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry87","152","pdk:PADK2_15610","gene","http://www.kegg.jp/dbget-bin/www_bget?pdk:PADK2_15610",NA,"rn:R01364",NA,500,718,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry97","198","pdk:PADK2_02120","gene","http://www.kegg.jp/dbget-bin/www_bget?pdk:PADK2_02120",NA,"rn:R04893",NA,1284,390,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry99","200","pdk:PADK2_02120","gene","http://www.kegg.jp/dbget-bin/www_bget?pdk:PADK2_02120",NA,"rn:R02532",NA,1208,328,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry104","205","pdk:PADK2_06195 / pdk:PADK2_28870","gene","http://www.kegg.jp/dbget-bin/www_bget?pdk:PADK2_06195+pdk:PADK2_28870",NA,"rn:R04880",NA,1124,428,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry106","207","pdk:PADK2_02120","gene","http://www.kegg.jp/dbget-bin/www_bget?pdk:PADK2_02120",NA,"rn:R04894",NA,1348,390,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry108","209","pdk:PADK2_02120","gene","http://www.kegg.jp/dbget-bin/www_bget?pdk:PADK2_02120",NA,"rn:R02919",NA,1425,390,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry112","213","pdk:PADK2_02120","gene","http://www.kegg.jp/dbget-bin/www_bget?pdk:PADK2_02120",NA,"rn:R04300",NA,941,309,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry163","280","pdk:PADK2_12890","gene","http://www.kegg.jp/dbget-bin/www_bget?pdk:PADK2_12890",NA,"rn:R01085",NA,654,718,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry169","288","pdk:PADK2_02120","gene","http://www.kegg.jp/dbget-bin/www_bget?pdk:PADK2_02120",NA,"rn:R04890",NA,1028,428,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
