"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry15","65","sply:Q5A_002640 / sply:Q5A_002645","gene","http://www.kegg.jp/dbget-bin/www_bget?sply:Q5A_002640+sply:Q5A_002645",NA,"rn:R02698",NA,218,502,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry16","66","sply:Q5A_008590","gene","http://www.kegg.jp/dbget-bin/www_bget?sply:Q5A_008590",NA,"rn:R00734",NA,475,309,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry18","68","sply:Q5A_013030","gene","http://www.kegg.jp/dbget-bin/www_bget?sply:Q5A_013030",NA,"rn:R02521",NA,500,453,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry28","84","sply:Q5A_002640 / sply:Q5A_002645","gene","http://www.kegg.jp/dbget-bin/www_bget?sply:Q5A_002640+sply:Q5A_002645",NA,"rn:R03299",NA,125,501,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry30","86","sply:Q5A_002615","gene","http://www.kegg.jp/dbget-bin/www_bget?sply:Q5A_002615",NA,"rn:R04379",NA,174,665,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry31","87","sply:Q5A_002595 / sply:Q5A_002600","gene","http://www.kegg.jp/dbget-bin/www_bget?sply:Q5A_002595+sply:Q5A_002600",NA,"rn:R04380",NA,174,722,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry32","88","sply:Q5A_002620","gene","http://www.kegg.jp/dbget-bin/www_bget?sply:Q5A_002620",NA,"rn:R06897",NA,278,781,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry33","89","sply:Q5A_002625","gene","http://www.kegg.jp/dbget-bin/www_bget?sply:Q5A_002625",NA,"rn:R01647",NA,382,792,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry34","90","sply:Q5A_006850 / sply:Q5A_013365 / sply:Q5A_016100 / sply:Q5A_022445","gene","http://www.kegg.jp/dbget-bin/www_bget?sply:Q5A_006850+sply:Q5A_013365+sply:Q5A_016100+sply:Q5A_022445",NA,"rn:R00713 rn:R00714",NA,382,846,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry37","93","sply:Q5A_002605 / sply:Q5A_021800","gene","http://www.kegg.jp/dbget-bin/www_bget?sply:Q5A_002605+sply:Q5A_021800",NA,"rn:R04418",NA,149,609,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry44","102","sply:Q5A_002595 / sply:Q5A_002600","gene","http://www.kegg.jp/dbget-bin/www_bget?sply:Q5A_002595+sply:Q5A_002600",NA,"rn:R04134",NA,226,757,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry45","104","sply:Q5A_008030 / sply:Q5A_010500","gene","http://www.kegg.jp/dbget-bin/www_bget?sply:Q5A_008030+sply:Q5A_010500",NA,"rn:R00734",NA,475,328,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry46","105","sply:Q5A_023185","gene","http://www.kegg.jp/dbget-bin/www_bget?sply:Q5A_023185",NA,"rn:R00734",NA,525,328,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry47","106","sply:Q5A_002620","gene","http://www.kegg.jp/dbget-bin/www_bget?sply:Q5A_002620",NA,"rn:R04132",NA,326,757,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry104","205","sply:Q5A_007725 / sply:Q5A_012535 / sply:Q5A_014100","gene","http://www.kegg.jp/dbget-bin/www_bget?sply:Q5A_007725+sply:Q5A_012535+sply:Q5A_014100",NA,"rn:R04880",NA,1124,428,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
