"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry14","64","smaf:D781_0572","gene","http://www.kegg.jp/dbget-bin/www_bget?smaf:D781_0572",NA,"rn:R03303",NA,174,543,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry15","65","smaf:D781_0578 / smaf:D781_0579","gene","http://www.kegg.jp/dbget-bin/www_bget?smaf:D781_0578+smaf:D781_0579",NA,"rn:R02698",NA,218,502,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry16","66","smaf:D781_1635","gene","http://www.kegg.jp/dbget-bin/www_bget?smaf:D781_1635",NA,"rn:R00734",NA,475,309,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry28","84","smaf:D781_0578 / smaf:D781_0579","gene","http://www.kegg.jp/dbget-bin/www_bget?smaf:D781_0578+smaf:D781_0579",NA,"rn:R03299",NA,125,501,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry30","86","smaf:D781_0573","gene","http://www.kegg.jp/dbget-bin/www_bget?smaf:D781_0573",NA,"rn:R04379",NA,174,665,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry31","87","smaf:D781_0569 / smaf:D781_0570","gene","http://www.kegg.jp/dbget-bin/www_bget?smaf:D781_0569+smaf:D781_0570",NA,"rn:R04380",NA,174,722,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry32","88","smaf:D781_0574","gene","http://www.kegg.jp/dbget-bin/www_bget?smaf:D781_0574",NA,"rn:R06897",NA,278,781,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry33","89","smaf:D781_0575","gene","http://www.kegg.jp/dbget-bin/www_bget?smaf:D781_0575",NA,"rn:R01647",NA,382,792,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry34","90","smaf:D781_2242 / smaf:D781_4033","gene","http://www.kegg.jp/dbget-bin/www_bget?smaf:D781_2242+smaf:D781_4033",NA,"rn:R00713 rn:R00714",NA,382,846,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry37","93","smaf:D781_0571","gene","http://www.kegg.jp/dbget-bin/www_bget?smaf:D781_0571",NA,"rn:R04418",NA,149,609,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry38","95","smaf:D781_1343","gene","http://www.kegg.jp/dbget-bin/www_bget?smaf:D781_1343",NA,"rn:R04304",NA,216,400,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry44","102","smaf:D781_0569 / smaf:D781_0570","gene","http://www.kegg.jp/dbget-bin/www_bget?smaf:D781_0569+smaf:D781_0570",NA,"rn:R04134",NA,226,757,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry45","104","smaf:D781_1521 / smaf:D781_2185","gene","http://www.kegg.jp/dbget-bin/www_bget?smaf:D781_1521+smaf:D781_2185",NA,"rn:R00734",NA,475,328,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry46","105","smaf:D781_4179","gene","http://www.kegg.jp/dbget-bin/www_bget?smaf:D781_4179",NA,"rn:R00734",NA,525,328,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry47","106","smaf:D781_0574","gene","http://www.kegg.jp/dbget-bin/www_bget?smaf:D781_0574",NA,"rn:R04132",NA,326,757,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
"entry104","205","smaf:D781_1465 / smaf:D781_2447 / smaf:D781_3394 / smaf:D781_4205","gene","http://www.kegg.jp/dbget-bin/www_bget?smaf:D781_1465+smaf:D781_2447+smaf:D781_3394+smaf:D781_4205",NA,"rn:R04880",NA,1124,428,"rectangle",46,17,"#000000","#BFFFBF",1,"00350"
