"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry11","104","gsr:GS3922_09215","gene","http://www.kegg.jp/dbget-bin/www_bget?gsr:GS3922_09215",NA,"rn:R06787",NA,736,392,"rectangle",46,17,"#000000","#BFFFBF",1,"00360"
"entry16","109","gsr:GS3922_14215","gene","http://www.kegg.jp/dbget-bin/www_bget?gsr:GS3922_14215",NA,"rn:R02613",NA,292,348,"rectangle",46,17,"#000000","#BFFFBF",1,"00360"
"entry21","115","gsr:GS3922_05055","gene","http://www.kegg.jp/dbget-bin/www_bget?gsr:GS3922_05055",NA,"rn:R00694",NA,466,250,"rectangle",46,17,"#000000","#BFFFBF",1,"00360"
"entry23","117","gsr:GS3922_05175","gene","http://www.kegg.jp/dbget-bin/www_bget?gsr:GS3922_05175",NA,"rn:R00694",NA,466,231,"rectangle",46,17,"#000000","#BFFFBF",1,"00360"
"entry26","120","gsr:GS3922_12655","gene","http://www.kegg.jp/dbget-bin/www_bget?gsr:GS3922_12655",NA,"rn:R01582",NA,651,250,"rectangle",46,17,"#000000","#BFFFBF",1,"00360"
"entry36","133","gsr:GS3922_09215","gene","http://www.kegg.jp/dbget-bin/www_bget?gsr:GS3922_09215",NA,"rn:R06786",NA,963,403,"rectangle",46,17,"#000000","#BFFFBF",1,"00360"
"entry110","214","gsr:GS3922_08050","gene","http://www.kegg.jp/dbget-bin/www_bget?gsr:GS3922_08050",NA,"rn:R00698",NA,194,367,"rectangle",46,17,"#000000","#BFFFBF",1,"00360"
"entry111","215","gsr:GS3922_06635","gene","http://www.kegg.jp/dbget-bin/www_bget?gsr:GS3922_06635",NA,"rn:R09838",NA,344,671,"rectangle",46,17,"#000000","#BFFFBF",1,"00360"
"entry113","217","gsr:GS3922_08180","gene","http://www.kegg.jp/dbget-bin/www_bget?gsr:GS3922_08180",NA,"rn:R09837",NA,436,671,"rectangle",46,17,"#000000","#BFFFBF",1,"00360"
"entry119","223","gsr:GS3922_06540 / gsr:GS3922_08180","gene","http://www.kegg.jp/dbget-bin/www_bget?gsr:GS3922_06540+gsr:GS3922_08180",NA,"rn:R09839",NA,671,700,"rectangle",46,17,"#000000","#BFFFBF",1,"00360"
"entry123","227","gsr:GS3922_06535 / gsr:GS3922_09260 / gsr:GS3922_09915 / gsr:GS3922_16295","gene","http://www.kegg.jp/dbget-bin/www_bget?gsr:GS3922_06535+gsr:GS3922_09260+gsr:GS3922_09915+gsr:GS3922_16295",NA,"rn:R06941",NA,531,749,"rectangle",46,17,"#000000","#BFFFBF",1,"00360"
"entry125","229","gsr:GS3922_06540","gene","http://www.kegg.jp/dbget-bin/www_bget?gsr:GS3922_06540",NA,"rn:R00829",NA,482,775,"rectangle",46,17,"#000000","#BFFFBF",1,"00360"
