"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry3","95","ppad:109245805 / ppad:109246870 / ppad:109246871 / ppad:109273343","gene","http://www.kegg.jp/dbget-bin/www_bget?ppad:109245805+ppad:109246870+ppad:109246871+ppad:109273343",NA,"rn:R02536 rn:R02537",NA,292,455,"rectangle",46,17,"#000000","#BFFFBF",1,"00360"
"entry12","105","ppad:109267874 / ppad:109267969","gene","http://www.kegg.jp/dbget-bin/www_bget?ppad:109267874+ppad:109267969",NA,"rn:R00699",NA,268,250,"rectangle",46,17,"#000000","#BFFFBF",1,"00360"
"entry15","108","ppad:109258539","gene","http://www.kegg.jp/dbget-bin/www_bget?ppad:109258539",NA,"rn:R02613",NA,268,367,"rectangle",46,17,"#000000","#BFFFBF",1,"00360"
"entry16","109","ppad:109248044 / ppad:109248045","gene","http://www.kegg.jp/dbget-bin/www_bget?ppad:109248044+ppad:109248045",NA,"rn:R02613",NA,292,348,"rectangle",46,17,"#000000","#BFFFBF",1,"00360"
"entry17","110","ppad:109277697","gene","http://www.kegg.jp/dbget-bin/www_bget?ppad:109277697",NA,"rn:R01372",NA,441,393,"rectangle",46,17,"#000000","#BFFFBF",1,"00360"
"entry22","116","ppad:109270666","gene","http://www.kegg.jp/dbget-bin/www_bget?ppad:109270666",NA,"rn:R00694",NA,416,250,"rectangle",46,17,"#000000","#BFFFBF",1,"00360"
"entry23","117","ppad:109270834 / ppad:109272750","gene","http://www.kegg.jp/dbget-bin/www_bget?ppad:109270834+ppad:109272750",NA,"rn:R00694",NA,466,231,"rectangle",46,17,"#000000","#BFFFBF",1,"00360"
"entry25","119","ppad:109259716","gene","http://www.kegg.jp/dbget-bin/www_bget?ppad:109259716",NA,"rn:R01378",NA,608,360,"rectangle",46,17,"#000000","#BFFFBF",1,"00360"
"entry32","126","ppad:109253035 / ppad:109254834","gene","http://www.kegg.jp/dbget-bin/www_bget?ppad:109253035+ppad:109254834",NA,"rn:R00689",NA,520,250,"rectangle",46,17,"#000000","#BFFFBF",1,"00360"
"entry41","138","ppad:109246472","gene","http://www.kegg.jp/dbget-bin/www_bget?ppad:109246472",NA,"rn:R02452",NA,1063,129,"rectangle",46,17,"#000000","#BFFFBF",1,"00360"
"entry87","187","ppad:109265422","gene","http://www.kegg.jp/dbget-bin/www_bget?ppad:109265422",NA,"rn:R01795",NA,142,175,"rectangle",46,17,"#000000","#BFFFBF",1,"00360"
"entry109","213","ppad:109246473","gene","http://www.kegg.jp/dbget-bin/www_bget?ppad:109246473",NA,"rn:R05841",NA,224,692,"rectangle",46,17,"#000000","#BFFFBF",1,"00360"
