"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry16","55","cna:AB433_18055","gene","http://www.kegg.jp/dbget-bin/www_bget?cna:AB433_18055",NA,"rn:R04478",NA,949,206,"rectangle",46,17,"#000000","#BFFFBF",1,"00362"
"entry66","126","cna:AB433_04805 / cna:AB433_04815 / cna:AB433_14370 / cna:AB433_14375","gene","http://www.kegg.jp/dbget-bin/www_bget?cna:AB433_04805+cna:AB433_04815+cna:AB433_14370+cna:AB433_14375",NA,"rn:R03026",NA,1057,899,"rectangle",46,17,"#000000","#BFFFBF",1,"00362"
"entry70","132","cna:AB433_04860 / cna:AB433_05160 / cna:AB433_10170","gene","http://www.kegg.jp/dbget-bin/www_bget?cna:AB433_04860+cna:AB433_05160+cna:AB433_10170",NA,"rn:R00238",NA,1248,898,"rectangle",46,17,"#000000","#BFFFBF",1,"00362"
"entry77","147","cna:AB433_18075","gene","http://www.kegg.jp/dbget-bin/www_bget?cna:AB433_18075",NA,"rn:R00813",NA,295,512,"rectangle",46,17,"#000000","#BFFFBF",1,"00362"
"entry85","155","cna:AB433_18175 / cna:AB433_18180","gene","http://www.kegg.jp/dbget-bin/www_bget?cna:AB433_18175+cna:AB433_18180",NA,"rn:R05621 rn:R05622",NA,184,512,"rectangle",46,17,"#000000","#BFFFBF",1,"00362"
"entry100","186","cna:AB433_18145","gene","http://www.kegg.jp/dbget-bin/www_bget?cna:AB433_18145",NA,"rn:R00816",NA,420,544,"rectangle",46,17,"#000000","#BFFFBF",1,"00362"
"entry101","187","cna:AB433_18120","gene","http://www.kegg.jp/dbget-bin/www_bget?cna:AB433_18120",NA,"rn:R00750",NA,789,595,"rectangle",46,17,"#000000","#BFFFBF",1,"00362"
"entry102","188","cna:AB433_18130","gene","http://www.kegg.jp/dbget-bin/www_bget?cna:AB433_18130",NA,"rn:R02601",NA,693,595,"rectangle",46,17,"#000000","#BFFFBF",1,"00362"
"entry103","189","cna:AB433_18150","gene","http://www.kegg.jp/dbget-bin/www_bget?cna:AB433_18150",NA,"rn:R02604",NA,599,594,"rectangle",46,17,"#000000","#BFFFBF",1,"00362"
"entry106","198","cna:AB433_12535 / cna:AB433_18110","gene","http://www.kegg.jp/dbget-bin/www_bget?cna:AB433_12535+cna:AB433_18110",NA,"rn:R03966",NA,601,684,"rectangle",46,17,"#000000","#BFFFBF",1,"00362"
"entry107","200","cna:AB433_18135","gene","http://www.kegg.jp/dbget-bin/www_bget?cna:AB433_18135",NA,"rn:R02762",NA,559,645,"rectangle",46,17,"#000000","#BFFFBF",1,"00362"
"entry108","201","cna:AB433_18115","gene","http://www.kegg.jp/dbget-bin/www_bget?cna:AB433_18115",NA,"rn:R02602",NA,647,646,"rectangle",46,17,"#000000","#BFFFBF",1,"00362"
"entry114","208","cna:AB433_18145","gene","http://www.kegg.jp/dbget-bin/www_bget?cna:AB433_18145",NA,"rn:R07795",NA,420,683,"rectangle",46,17,"#000000","#BFFFBF",1,"00362"
"entry119","217","cna:AB433_18125","gene","http://www.kegg.jp/dbget-bin/www_bget?cna:AB433_18125",NA,"rn:R00228",NA,959,595,"rectangle",46,17,"#000000","#BFFFBF",1,"00362"
"entry144","249","cna:AB433_05555","gene","http://www.kegg.jp/dbget-bin/www_bget?cna:AB433_05555",NA,"rn:R05305",NA,677,909,"rectangle",46,17,"#000000","#BFFFBF",1,"00362"
