"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","19","spu:548621","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:548621",NA,"rn:R02670",NA,771,715,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry1","35","spu:582126 / spu:588204","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:582126+spu:588204",NA,"rn:R01975",NA,211,954,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry2","77","spu:577419","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:577419",NA,"rn:R00678",NA,543,563,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry7","82","spu:577419","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:577419",NA,"rn:R03628",NA,924,185,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry8","83","spu:578598 / spu:578655","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:578598+spu:578655",NA,"rn:R03629",NA,924,210,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry11","87","spu:577419","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:577419",NA,"rn:R02909",NA,682,159,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry13","89","spu:583484 / spu:590013 / spu:590198","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:583484+spu:590013+spu:590198",NA,"rn:R04908",NA,276,133,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry14","90","spu:577767 / spu:593847 / spu:757080","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:577767+spu:593847+spu:757080",NA,"rn:R04909",NA,324,169,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry15","92","spu:577767 / spu:593847 / spu:757080","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:577767+spu:593847+spu:757080",NA,"rn:R02701",NA,576,210,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry16","93","spu:577419","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:577419",NA,"rn:R02702",NA,469,210,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry18","98","spu:100893038","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:100893038",NA,"rn:R01959",NA,518,623,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry19","101","spu:584928 / spu:763037","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:584928+spu:763037",NA,"rn:R00238",NA,113,955,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry20","102","spu:575690 / spu:585357 / spu:588204","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:575690+spu:585357+spu:588204",NA,"rn:R03026",NA,306,954,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry21","103","spu:580832","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:580832",NA,"rn:R02488",NA,396,955,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry22","104","spu:576084 / spu:577103","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:576084+spu:577103",NA,"rn:R01933",NA,494,955,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry23","105","spu:583530","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:583530",NA,"rn:R03889",NA,674,922,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry25","107","spu:582154","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:582154",NA,"rn:R02665",NA,674,813,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry26","108","spu:754267","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:754267",NA,"rn:R03936",NA,576,595,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry27","109","spu:592365","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:592365",NA,"rn:R01960",NA,517,710,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry28","110","spu:754267","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:754267",NA,"rn:R00987",NA,576,660,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry29","111","spu:100893038","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:100893038",NA,"rn:R00988",NA,674,623,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry30","112","spu:754267","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:754267",NA,"rn:R02668",NA,576,759,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry31","113","spu:593764","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:593764",NA,"rn:R00678",NA,493,563,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry33","115","spu:578903","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:578903",NA,"rn:R01814",NA,518,249,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry34","117","spu:100891652 / spu:592969 / spu:593717","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:100891652+spu:592969+spu:593717",NA,"rn:R04171",NA,469,760,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry35","118","spu:100891652 / spu:592969 / spu:593717","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:100891652+spu:592969+spu:593717",NA,"rn:R01956",NA,469,661,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry37","120","spu:583484 / spu:590013 / spu:590198","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:583484+spu:590013+spu:590198",NA,"rn:R04907",NA,469,831,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry39","127","spu:577767 / spu:593847 / spu:757080","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:577767+spu:593847+spu:757080",NA,"rn:R00685",NA,576,355,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry40","128","spu:583484 / spu:590013 / spu:590198","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:583484+spu:590013+spu:590198",NA,"rn:R02908",NA,630,117,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry42","131","spu:105445554 / spu:580956 / spu:581706 / spu:581754 / spu:583864 / spu:588376 / spu:593236","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:105445554+spu:580956+spu:581706+spu:581754+spu:583864+spu:588376+spu:593236",NA,"rn:R02678",NA,941,413,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry47","137","spu:100893038","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:100893038",NA,"rn:R04911",NA,375,210,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry48","138","spu:105445554 / spu:580956 / spu:581706 / spu:581754 / spu:583864 / spu:588376 / spu:593236","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:105445554+spu:580956+spu:581706+spu:581754+spu:583864+spu:588376+spu:593236",NA,"rn:R04903",NA,682,71,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry50","145","spu:583484 / spu:590013 / spu:590198","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:583484+spu:590013+spu:590198",NA,"rn:R02173",NA,755,343,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry52","147","spu:100890319 / spu:100892264 / spu:576789 / spu:578788","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:100890319+spu:100892264+spu:576789+spu:578788",NA,"rn:R03096",NA,920,535,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry154","282","spu:577767 / spu:593847 / spu:757080","gene","http://www.kegg.jp/dbget-bin/www_bget?spu:577767+spu:593847+spu:757080",NA,"rn:R00685",NA,576,376,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
