"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry19","101","pom:MED152_04775","gene","http://www.kegg.jp/dbget-bin/www_bget?pom:MED152_04775",NA,"rn:R00238",NA,113,955,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry20","102","pom:MED152_11649","gene","http://www.kegg.jp/dbget-bin/www_bget?pom:MED152_11649",NA,"rn:R03026",NA,306,954,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry21","103","pom:MED152_10560","gene","http://www.kegg.jp/dbget-bin/www_bget?pom:MED152_10560",NA,"rn:R02488",NA,396,955,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry22","104","pom:MED152_03895 / pom:MED152_04175 / pom:MED152_07935 / pom:MED152_09985","gene","http://www.kegg.jp/dbget-bin/www_bget?pom:MED152_03895+pom:MED152_04175+pom:MED152_07935+pom:MED152_09985",NA,"rn:R01933",NA,494,955,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry23","105","pom:MED152_12769","gene","http://www.kegg.jp/dbget-bin/www_bget?pom:MED152_12769",NA,"rn:R03889",NA,674,922,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry24","106","pom:MED152_12789","gene","http://www.kegg.jp/dbget-bin/www_bget?pom:MED152_12789",NA,"rn:R04323",NA,674,866,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry25","107","pom:MED152_12779","gene","http://www.kegg.jp/dbget-bin/www_bget?pom:MED152_12779",NA,"rn:R02665",NA,674,813,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry26","108","pom:MED152_12754","gene","http://www.kegg.jp/dbget-bin/www_bget?pom:MED152_12754",NA,"rn:R03936",NA,576,595,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry27","109","pom:MED152_12759","gene","http://www.kegg.jp/dbget-bin/www_bget?pom:MED152_12759",NA,"rn:R01960",NA,517,710,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry28","110","pom:MED152_12754","gene","http://www.kegg.jp/dbget-bin/www_bget?pom:MED152_12754",NA,"rn:R00987",NA,576,660,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry30","112","pom:MED152_12754","gene","http://www.kegg.jp/dbget-bin/www_bget?pom:MED152_12754",NA,"rn:R02668",NA,576,759,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry31","113","pom:MED152_09370","gene","http://www.kegg.jp/dbget-bin/www_bget?pom:MED152_09370",NA,"rn:R00678",NA,493,563,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry42","131","pom:MED152_08315","gene","http://www.kegg.jp/dbget-bin/www_bget?pom:MED152_08315",NA,"rn:R02678",NA,941,413,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry48","138","pom:MED152_08315","gene","http://www.kegg.jp/dbget-bin/www_bget?pom:MED152_08315",NA,"rn:R04903",NA,682,71,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry52","147","pom:MED152_03960","gene","http://www.kegg.jp/dbget-bin/www_bget?pom:MED152_03960",NA,"rn:R03096",NA,920,535,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry53","148","pom:MED152_07120","gene","http://www.kegg.jp/dbget-bin/www_bget?pom:MED152_07120",NA,"rn:R03093",NA,920,490,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry59","156","pom:MED152_12764","gene","http://www.kegg.jp/dbget-bin/www_bget?pom:MED152_12764",NA,"rn:R03887",NA,726,955,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
"entry146","272","pom:MED152_05245","gene","http://www.kegg.jp/dbget-bin/www_bget?pom:MED152_05245",NA,"rn:R02670",NA,771,736,"rectangle",46,17,"#000000","#BFFFBF",1,"00380"
