"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","10","ack:C380_00275 / ack:C380_19895","gene","http://www.kegg.jp/dbget-bin/www_bget?ack:C380_00275+ack:C380_19895",NA,"rn:R01826",NA,282,201,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry19","50","ack:C380_09025","gene","http://www.kegg.jp/dbget-bin/www_bget?ack:C380_09025",NA,"rn:R01714",NA,420,505,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry20","51","ack:C380_07420 / ack:C380_07425","gene","http://www.kegg.jp/dbget-bin/www_bget?ack:C380_07420+ack:C380_07425",NA,"rn:R02722",NA,190,416,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry21","52","ack:C380_07420","gene","http://www.kegg.jp/dbget-bin/www_bget?ack:C380_07420",NA,"rn:R02340",NA,190,355,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry22","53","ack:C380_07425","gene","http://www.kegg.jp/dbget-bin/www_bget?ack:C380_07425",NA,"rn:R00674",NA,143,379,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry23","54","ack:C380_22060","gene","http://www.kegg.jp/dbget-bin/www_bget?ack:C380_22060",NA,"rn:R03508",NA,236,444,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry24","55","ack:C380_07430","gene","http://www.kegg.jp/dbget-bin/www_bget?ack:C380_07430",NA,"rn:R03509",NA,237,511,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry25","56","ack:C380_22070","gene","http://www.kegg.jp/dbget-bin/www_bget?ack:C380_22070",NA,"rn:R01073",NA,278,539,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry26","57","ack:C380_22080 / ack:C380_22090","gene","http://www.kegg.jp/dbget-bin/www_bget?ack:C380_22080+ack:C380_22090",NA,"rn:R00985 rn:R00986",NA,378,540,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry27","58","ack:C380_13600","gene","http://www.kegg.jp/dbget-bin/www_bget?ack:C380_13600",NA,"rn:R01715",NA,420,570,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry28","59","ack:C380_16615","gene","http://www.kegg.jp/dbget-bin/www_bget?ack:C380_16615",NA,"rn:R01373",NA,237,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
