"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","10","sinb:SIDU_13535","gene","http://www.kegg.jp/dbget-bin/www_bget?sinb:SIDU_13535",NA,"rn:R01826",NA,282,201,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry19","50","sinb:SIDU_17080","gene","http://www.kegg.jp/dbget-bin/www_bget?sinb:SIDU_17080",NA,"rn:R01714",NA,420,505,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry20","51","sinb:SIDU_04680 / sinb:SIDU_04685","gene","http://www.kegg.jp/dbget-bin/www_bget?sinb:SIDU_04680+sinb:SIDU_04685",NA,"rn:R02722",NA,190,416,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry21","52","sinb:SIDU_04680","gene","http://www.kegg.jp/dbget-bin/www_bget?sinb:SIDU_04680",NA,"rn:R02340",NA,190,355,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry22","53","sinb:SIDU_04685","gene","http://www.kegg.jp/dbget-bin/www_bget?sinb:SIDU_04685",NA,"rn:R00674",NA,143,379,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry23","54","sinb:SIDU_09630","gene","http://www.kegg.jp/dbget-bin/www_bget?sinb:SIDU_09630",NA,"rn:R03508",NA,236,444,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry24","55","sinb:SIDU_04690","gene","http://www.kegg.jp/dbget-bin/www_bget?sinb:SIDU_04690",NA,"rn:R03509",NA,237,511,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry25","56","sinb:SIDU_09635","gene","http://www.kegg.jp/dbget-bin/www_bget?sinb:SIDU_09635",NA,"rn:R01073",NA,278,539,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry26","57","sinb:SIDU_06585 / sinb:SIDU_09640","gene","http://www.kegg.jp/dbget-bin/www_bget?sinb:SIDU_06585+sinb:SIDU_09640",NA,"rn:R00985 rn:R00986",NA,378,540,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry27","58","sinb:SIDU_01010","gene","http://www.kegg.jp/dbget-bin/www_bget?sinb:SIDU_01010",NA,"rn:R01715",NA,420,570,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry29","60","sinb:SIDU_00385","gene","http://www.kegg.jp/dbget-bin/www_bget?sinb:SIDU_00385",NA,"rn:R01373",NA,330,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry36","67","sinb:SIDU_00385","gene","http://www.kegg.jp/dbget-bin/www_bget?sinb:SIDU_00385",NA,"rn:R00691",NA,380,782,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry38","69","sinb:SIDU_15170","gene","http://www.kegg.jp/dbget-bin/www_bget?sinb:SIDU_15170",NA,"rn:R01728",NA,499,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry39","70","sinb:SIDU_15170","gene","http://www.kegg.jp/dbget-bin/www_bget?sinb:SIDU_15170",NA,"rn:R00732",NA,470,782,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry40","71","sinb:SIDU_18130","gene","http://www.kegg.jp/dbget-bin/www_bget?sinb:SIDU_18130",NA,"rn:R01795",NA,380,842,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry43","74","sinb:SIDU_04610","gene","http://www.kegg.jp/dbget-bin/www_bget?sinb:SIDU_04610",NA,"rn:R03460",NA,420,448,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry44","75","sinb:SIDU_02990","gene","http://www.kegg.jp/dbget-bin/www_bget?sinb:SIDU_02990",NA,"rn:R02412",NA,420,382,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry45","76","sinb:SIDU_15745","gene","http://www.kegg.jp/dbget-bin/www_bget?sinb:SIDU_15745",NA,"rn:R02413",NA,421,309,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry46","77","sinb:SIDU_13480","gene","http://www.kegg.jp/dbget-bin/www_bget?sinb:SIDU_13480",NA,"rn:R03084",NA,421,239,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry48","79","sinb:SIDU_02985","gene","http://www.kegg.jp/dbget-bin/www_bget?sinb:SIDU_02985",NA,"rn:R03083",NA,372,202,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry51","82","sinb:SIDU_09745","gene","http://www.kegg.jp/dbget-bin/www_bget?sinb:SIDU_09745",NA,"rn:R00694",NA,305,715,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry52","83","sinb:SIDU_09745","gene","http://www.kegg.jp/dbget-bin/www_bget?sinb:SIDU_09745",NA,"rn:R00734",NA,499,715,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry57","88","sinb:SIDU_02645 / sinb:SIDU_02650 / sinb:SIDU_15165","gene","http://www.kegg.jp/dbget-bin/www_bget?sinb:SIDU_02645+sinb:SIDU_02650+sinb:SIDU_15165",NA,"rn:R00694",NA,305,734,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry58","89","sinb:SIDU_02645 / sinb:SIDU_02650 / sinb:SIDU_15165","gene","http://www.kegg.jp/dbget-bin/www_bget?sinb:SIDU_02645+sinb:SIDU_02650+sinb:SIDU_15165",NA,"rn:R00734",NA,499,734,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
