"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry19","50","blu:K645_881","gene","http://www.kegg.jp/dbget-bin/www_bget?blu:K645_881",NA,"rn:R01714",NA,420,505,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry20","51","blu:K645_1996 / blu:K645_2001","gene","http://www.kegg.jp/dbget-bin/www_bget?blu:K645_1996+blu:K645_2001",NA,"rn:R02722",NA,190,416,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry21","52","blu:K645_2001","gene","http://www.kegg.jp/dbget-bin/www_bget?blu:K645_2001",NA,"rn:R02340",NA,190,355,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry22","53","blu:K645_1996","gene","http://www.kegg.jp/dbget-bin/www_bget?blu:K645_1996",NA,"rn:R00674",NA,143,379,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry23","54","blu:K645_1981","gene","http://www.kegg.jp/dbget-bin/www_bget?blu:K645_1981",NA,"rn:R03508",NA,236,444,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry24","55","blu:K645_1991","gene","http://www.kegg.jp/dbget-bin/www_bget?blu:K645_1991",NA,"rn:R03509",NA,237,511,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry25","56","blu:K645_1976","gene","http://www.kegg.jp/dbget-bin/www_bget?blu:K645_1976",NA,"rn:R01073",NA,278,539,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry26","57","blu:K645_1966 / blu:K645_1971","gene","http://www.kegg.jp/dbget-bin/www_bget?blu:K645_1966+blu:K645_1971",NA,"rn:R00985 rn:R00986",NA,378,540,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry27","58","blu:K645_1596","gene","http://www.kegg.jp/dbget-bin/www_bget?blu:K645_1596",NA,"rn:R01715",NA,420,570,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry29","60","blu:K645_1581","gene","http://www.kegg.jp/dbget-bin/www_bget?blu:K645_1581",NA,"rn:R01373",NA,330,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry36","67","blu:K645_1581","gene","http://www.kegg.jp/dbget-bin/www_bget?blu:K645_1581",NA,"rn:R00691",NA,380,782,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry38","69","blu:K645_1591","gene","http://www.kegg.jp/dbget-bin/www_bget?blu:K645_1591",NA,"rn:R01728",NA,499,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry43","74","blu:K645_1901","gene","http://www.kegg.jp/dbget-bin/www_bget?blu:K645_1901",NA,"rn:R03460",NA,420,448,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry44","75","blu:K645_2021","gene","http://www.kegg.jp/dbget-bin/www_bget?blu:K645_2021",NA,"rn:R02412",NA,420,382,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry45","76","blu:K645_706","gene","http://www.kegg.jp/dbget-bin/www_bget?blu:K645_706",NA,"rn:R02413",NA,421,309,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry48","79","blu:K645_2331","gene","http://www.kegg.jp/dbget-bin/www_bget?blu:K645_2331",NA,"rn:R03083",NA,372,202,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry51","82","blu:K645_1651","gene","http://www.kegg.jp/dbget-bin/www_bget?blu:K645_1651",NA,"rn:R00694",NA,305,715,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry52","83","blu:K645_1651","gene","http://www.kegg.jp/dbget-bin/www_bget?blu:K645_1651",NA,"rn:R00734",NA,499,715,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry57","88","blu:K645_2041","gene","http://www.kegg.jp/dbget-bin/www_bget?blu:K645_2041",NA,"rn:R00694",NA,305,734,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
"entry58","89","blu:K645_2041","gene","http://www.kegg.jp/dbget-bin/www_bget?blu:K645_2041",NA,"rn:R00734",NA,499,734,"rectangle",46,17,"#000000","#BFFFBF",1,"00400"
