"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry6","43","cit:102617029","gene","http://www.kegg.jp/dbget-bin/www_bget?cit:102617029",NA,"rn:R03045",NA,659,631,"rectangle",46,17,"#000000","#BFFFBF",1,"00410"
"entry7","44","cit:102615167 / cit:102617485 / cit:102617592 / cit:102625612 / cit:102626887 / cit:102629112 / cit:102629199","gene","http://www.kegg.jp/dbget-bin/www_bget?cit:102615167+cit:102617485+cit:102617592+cit:102625612+cit:102626887+cit:102629112+cit:102629199",NA,"rn:R03158",NA,528,642,"rectangle",46,17,"#000000","#BFFFBF",1,"00410"
"entry8","45","cit:102613224","gene","http://www.kegg.jp/dbget-bin/www_bget?cit:102613224",NA,"rn:R01608",NA,398,642,"rectangle",46,17,"#000000","#BFFFBF",1,"00410"
"entry9","48","cit:102616729","gene","http://www.kegg.jp/dbget-bin/www_bget?cit:102616729",NA,"rn:R00233",NA,145,570,"rectangle",46,17,"#000000","#BFFFBF",1,"00410"
"entry10","49","cit:102618946 / cit:102627595 / cit:102628940","gene","http://www.kegg.jp/dbget-bin/www_bget?cit:102618946+cit:102627595+cit:102628940",NA,"rn:R00705 rn:R00706",NA,203,611,"rectangle",46,17,"#000000","#BFFFBF",1,"00410"
"entry14","54","cit:102623556","gene","http://www.kegg.jp/dbget-bin/www_bget?cit:102623556",NA,"rn:R02473",NA,354,529,"rectangle",46,17,"#000000","#BFFFBF",1,"00410"
"entry16","57","cit:102611084 / cit:102612842","gene","http://www.kegg.jp/dbget-bin/www_bget?cit:102611084+cit:102612842",NA,"rn:R00489",NA,577,150,"rectangle",46,17,"#000000","#BFFFBF",1,"00410"
"entry20","64","cit:102610710 / cit:102611727 / cit:102618241 / cit:102623979 / cit:102624545 / cit:102625302 / cit:102628236 / cit:107178412","gene","http://www.kegg.jp/dbget-bin/www_bget?cit:102610710+cit:102611727+cit:102618241+cit:102623979+cit:102624545+cit:102625302+cit:102628236+cit:107178412",NA,"rn:R03139",NA,577,293,"rectangle",46,17,"#000000","#BFFFBF",1,"00410"
"entry21","65","cit:102608060 / cit:102611460 / cit:102613074 / cit:102615535 / cit:102620491 / cit:102624275 / cit:102627492","gene","http://www.kegg.jp/dbget-bin/www_bget?cit:102608060+cit:102611460+cit:102613074+cit:102615535+cit:102620491+cit:102624275+cit:102627492",NA,"rn:R00904",NA,467,282,"rectangle",46,17,"#000000","#BFFFBF",1,"00410"
"entry22","66","cit:102629373 / cit:102630132","gene","http://www.kegg.jp/dbget-bin/www_bget?cit:102629373+cit:102630132",NA,"rn:R00905",NA,340,261,"rectangle",46,17,"#000000","#BFFFBF",1,"00410"
"entry23","67","cit:102627040","gene","http://www.kegg.jp/dbget-bin/www_bget?cit:102627040",NA,"rn:R02269",NA,224,261,"rectangle",46,17,"#000000","#BFFFBF",1,"00410"
"entry24","68","cit:102610369","gene","http://www.kegg.jp/dbget-bin/www_bget?cit:102610369",NA,"rn:R00978",NA,123,271,"rectangle",46,17,"#000000","#BFFFBF",1,"00410"
"entry66","124","cit:102624788 / cit:102625282 / cit:102627867","gene","http://www.kegg.jp/dbget-bin/www_bget?cit:102624788+cit:102625282+cit:102627867",NA,"rn:R09076",NA,813,303,"rectangle",46,17,"#000000","#BFFFBF",1,"00410"
"entry67","126","cit:102624788 / cit:102625282 / cit:102627867","gene","http://www.kegg.jp/dbget-bin/www_bget?cit:102624788+cit:102625282+cit:102627867",NA,"rn:R09077",NA,640,251,"rectangle",46,17,"#000000","#BFFFBF",1,"00410"
"entry69","128","cit:102606898 / cit:102616414 / cit:102628850","gene","http://www.kegg.jp/dbget-bin/www_bget?cit:102606898+cit:102616414+cit:102628850",NA,"rn:R01914",NA,694,282,"rectangle",46,17,"#000000","#BFFFBF",1,"00410"
"entry70","129","cit:102606898 / cit:102609290 / cit:102616414 / cit:102628850","gene","http://www.kegg.jp/dbget-bin/www_bget?cit:102606898+cit:102609290+cit:102616414+cit:102628850",NA,"rn:R09076",NA,813,282,"rectangle",46,17,"#000000","#BFFFBF",1,"00410"
"entry74","134","cit:102613088 / cit:102613384 / cit:102613688 / cit:102615515 / cit:102619168 / cit:102619982","gene","http://www.kegg.jp/dbget-bin/www_bget?cit:102613088+cit:102613384+cit:102613688+cit:102615515+cit:102619168+cit:102619982",NA,"rn:R12356",NA,791,652,"rectangle",46,17,"#000000","#BFFFBF",1,"00410"
