"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","11","sgv:B1H19_05485 / sgv:B1H19_21445","gene","http://www.kegg.jp/dbget-bin/www_bget?sgv:B1H19_05485+sgv:B1H19_21445",NA,"rn:R03596",NA,570,459,"rectangle",46,17,"#000000","#BFFFBF",1,"00450"
"entry4","14","sgv:B1H19_01130","gene","http://www.kegg.jp/dbget-bin/www_bget?sgv:B1H19_01130",NA,"rn:R04770",NA,248,185,"rectangle",46,17,"#000000","#BFFFBF",1,"00450"
"entry5","15","sgv:B1H19_09105 / sgv:B1H19_20825","gene","http://www.kegg.jp/dbget-bin/www_bget?sgv:B1H19_09105+sgv:B1H19_20825",NA,"rn:R04773",NA,118,176,"rectangle",46,17,"#000000","#BFFFBF",1,"00450"
"entry32","58","sgv:B1H19_21655","gene","http://www.kegg.jp/dbget-bin/www_bget?sgv:B1H19_21655",NA,"rn:R04770",NA,248,164,"rectangle",46,17,"#000000","#BFFFBF",1,"00450"
"entry33","59","sgv:B1H19_19875 / sgv:B1H19_25925","gene","http://www.kegg.jp/dbget-bin/www_bget?sgv:B1H19_19875+sgv:B1H19_25925",NA,"rn:R04944 rn:R04946",NA,199,364,"rectangle",46,17,"#000000","#BFFFBF",1,"00450"
"entry34","60","sgv:B1H19_11550 / sgv:B1H19_31700","gene","http://www.kegg.jp/dbget-bin/www_bget?sgv:B1H19_11550+sgv:B1H19_31700",NA,"rn:R03599",NA,328,395,"rectangle",46,17,"#000000","#BFFFBF",1,"00450"
"entry39","72","sgv:B1H19_31475 / sgv:B1H19_31480 / sgv:B1H19_33080 / sgv:B1H19_33085","gene","http://www.kegg.jp/dbget-bin/www_bget?sgv:B1H19_31475+sgv:B1H19_31480+sgv:B1H19_33080+sgv:B1H19_33085",NA,"rn:R04929",NA,800,365,"rectangle",46,17,"#000000","#BFFFBF",1,"00450"
"entry45","82","sgv:B1H19_07530 / sgv:B1H19_10230","gene","http://www.kegg.jp/dbget-bin/www_bget?sgv:B1H19_07530+sgv:B1H19_10230",NA,"rn:R09365",NA,199,219,"rectangle",46,17,"#000000","#BFFFBF",1,"00450"
"entry46","89","sgv:B1H19_05485 / sgv:B1H19_21445","gene","http://www.kegg.jp/dbget-bin/www_bget?sgv:B1H19_05485+sgv:B1H19_21445",NA,"rn:R09372",NA,472,176,"rectangle",46,17,"#000000","#BFFFBF",1,"00450"
"entry48","91","sgv:B1H19_21655","gene","http://www.kegg.jp/dbget-bin/www_bget?sgv:B1H19_21655",NA,"rn:R09366",NA,257,219,"rectangle",46,17,"#000000","#BFFFBF",1,"00450"
