"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","11","sel:SPUL_2050","gene","http://www.kegg.jp/dbget-bin/www_bget?sel:SPUL_2050",NA,"rn:R03596",NA,570,459,"rectangle",46,17,"#000000","#BFFFBF",1,"00450"
"entry2","12","sel:SPUL_1111","gene","http://www.kegg.jp/dbget-bin/www_bget?sel:SPUL_1111",NA,"rn:R03595",NA,328,459,"rectangle",46,17,"#000000","#BFFFBF",1,"00450"
"entry5","15","sel:SPUL_0736","gene","http://www.kegg.jp/dbget-bin/www_bget?sel:SPUL_0736",NA,"rn:R04773",NA,118,176,"rectangle",46,17,"#000000","#BFFFBF",1,"00450"
"entry21","35","sel:SPUL_1314","gene","http://www.kegg.jp/dbget-bin/www_bget?sel:SPUL_1314",NA,"rn:R07229",NA,759,392,"rectangle",46,17,"#000000","#BFFFBF",1,"00450"
"entry33","59","sel:SPUL_3561","gene","http://www.kegg.jp/dbget-bin/www_bget?sel:SPUL_3561",NA,"rn:R04944 rn:R04946",NA,199,364,"rectangle",46,17,"#000000","#BFFFBF",1,"00450"
"entry34","60","sel:SPUL_1190","gene","http://www.kegg.jp/dbget-bin/www_bget?sel:SPUL_1190",NA,"rn:R03599",NA,328,395,"rectangle",46,17,"#000000","#BFFFBF",1,"00450"
"entry39","72","sel:SPUL_2933 / sel:SPUL_2934","gene","http://www.kegg.jp/dbget-bin/www_bget?sel:SPUL_2933+sel:SPUL_2934",NA,"rn:R04929",NA,800,365,"rectangle",46,17,"#000000","#BFFFBF",1,"00450"
"entry43","80","sel:SPUL_3882 / sel:SPUL_4419","gene","http://www.kegg.jp/dbget-bin/www_bget?sel:SPUL_3882+sel:SPUL_4419",NA,"rn:R08219",NA,125,450,"rectangle",46,17,"#000000","#BFFFBF",1,"00450"
"entry44","81","sel:SPUL_1365 / sel:SPUL_3168","gene","http://www.kegg.jp/dbget-bin/www_bget?sel:SPUL_1365+sel:SPUL_3168",NA,"rn:R04941",NA,199,299,"rectangle",46,17,"#000000","#BFFFBF",1,"00450"
"entry45","82","sel:SPUL_3468 / sel:SPUL_4195","gene","http://www.kegg.jp/dbget-bin/www_bget?sel:SPUL_3468+sel:SPUL_4195",NA,"rn:R09365",NA,199,219,"rectangle",46,17,"#000000","#BFFFBF",1,"00450"
"entry46","89","sel:SPUL_2050","gene","http://www.kegg.jp/dbget-bin/www_bget?sel:SPUL_2050",NA,"rn:R09372",NA,472,176,"rectangle",46,17,"#000000","#BFFFBF",1,"00450"
