"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry8","38","psu:Psesu_0447 / psu:Psesu_1196","gene","http://www.kegg.jp/dbget-bin/www_bget?psu:Psesu_0447+psu:Psesu_1196",NA,"rn:R03916",NA,489,526,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry9","39","psu:Psesu_1771","gene","http://www.kegg.jp/dbget-bin/www_bget?psu:Psesu_1771",NA,"rn:R00274",NA,217,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry14","49","psu:Psesu_1292","gene","http://www.kegg.jp/dbget-bin/www_bget?psu:Psesu_1292",NA,"rn:R02736",NA,217,511,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry16","51","psu:Psesu_3064","gene","http://www.kegg.jp/dbget-bin/www_bget?psu:Psesu_3064",NA,"rn:R00267",NA,169,490,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry17","52","psu:Psesu_2400","gene","http://www.kegg.jp/dbget-bin/www_bget?psu:Psesu_2400",NA,"rn:R00497",NA,458,457,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry18","53","psu:Psesu_2751","gene","http://www.kegg.jp/dbget-bin/www_bget?psu:Psesu_2751",NA,"rn:R00894",NA,542,275,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry19","54","psu:Psesu_0447 / psu:Psesu_1196","gene","http://www.kegg.jp/dbget-bin/www_bget?psu:Psesu_0447+psu:Psesu_1196",NA,"rn:R00494",NA,332,430,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry23","58","psu:Psesu_0447 / psu:Psesu_1196","gene","http://www.kegg.jp/dbget-bin/www_bget?psu:Psesu_0447+psu:Psesu_1196",NA,"rn:R01262",NA,195,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry26","61","psu:Psesu_1009 / psu:Psesu_1444 / psu:Psesu_1756 / psu:Psesu_2279 / psu:Psesu_2688 / psu:Psesu_2714 / psu:Psesu_2973","gene","http://www.kegg.jp/dbget-bin/www_bget?psu:Psesu_1009+psu:Psesu_1444+psu:Psesu_1756+psu:Psesu_2279+psu:Psesu_2688+psu:Psesu_2714+psu:Psesu_2973",NA,"rn:R03522",NA,388,526,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry50","95","psu:Psesu_2210","gene","http://www.kegg.jp/dbget-bin/www_bget?psu:Psesu_2210",NA,"rn:R00115",NA,169,458,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry71","145","psu:Psesu_2564","gene","http://www.kegg.jp/dbget-bin/www_bget?psu:Psesu_2564",NA,"rn:R01528",NA,169,511,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry73","147","psu:Psesu_0148 / psu:Psesu_2186","gene","http://www.kegg.jp/dbget-bin/www_bget?psu:Psesu_0148+psu:Psesu_2186",NA,"rn:R01920",NA,290,643,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry81","155","psu:Psesu_0148 / psu:Psesu_2186","gene","http://www.kegg.jp/dbget-bin/www_bget?psu:Psesu_0148+psu:Psesu_2186",NA,"rn:R08359",NA,237,921,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry94","171","psu:Psesu_2427 / psu:Psesu_2624","gene","http://www.kegg.jp/dbget-bin/www_bget?psu:Psesu_2427+psu:Psesu_2624",NA,"rn:R00899",NA,307,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry95","172","psu:Psesu_2427 / psu:Psesu_2624","gene","http://www.kegg.jp/dbget-bin/www_bget?psu:Psesu_2427+psu:Psesu_2624",NA,"rn:R04951",NA,592,536,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
