"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry7","37","paf:PAM18_1880","gene","http://www.kegg.jp/dbget-bin/www_bget?paf:PAM18_1880",NA,"rn:R04951",NA,592,515,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry8","38","paf:PAM18_0164 / paf:PAM18_0359 / paf:PAM18_3564","gene","http://www.kegg.jp/dbget-bin/www_bget?paf:PAM18_0164+paf:PAM18_0359+paf:PAM18_3564",NA,"rn:R03916",NA,489,526,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry9","39","paf:PAM18_2137 / paf:PAM18_3742 / paf:PAM18_4202","gene","http://www.kegg.jp/dbget-bin/www_bget?paf:PAM18_2137+paf:PAM18_3742+paf:PAM18_4202",NA,"rn:R00274",NA,217,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry14","49","paf:PAM18_1789 / paf:PAM18_5560","gene","http://www.kegg.jp/dbget-bin/www_bget?paf:PAM18_1789+paf:PAM18_5560",NA,"rn:R02736",NA,217,511,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry15","50","paf:PAM18_2777","gene","http://www.kegg.jp/dbget-bin/www_bget?paf:PAM18_2777",NA,"rn:R02034",NA,217,490,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry16","51","paf:PAM18_2351 / paf:PAM18_2352","gene","http://www.kegg.jp/dbget-bin/www_bget?paf:PAM18_2351+paf:PAM18_2352",NA,"rn:R00267",NA,169,490,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry17","52","paf:PAM18_0407","gene","http://www.kegg.jp/dbget-bin/www_bget?paf:PAM18_0407",NA,"rn:R00497",NA,458,457,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry18","53","paf:PAM18_2855 / paf:PAM18_5321","gene","http://www.kegg.jp/dbget-bin/www_bget?paf:PAM18_2855+paf:PAM18_5321",NA,"rn:R00894",NA,542,275,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry19","54","paf:PAM18_0164 / paf:PAM18_0359 / paf:PAM18_3564","gene","http://www.kegg.jp/dbget-bin/www_bget?paf:PAM18_0164+paf:PAM18_0359+paf:PAM18_3564",NA,"rn:R00494",NA,332,430,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry20","55","paf:PAM18_1880","gene","http://www.kegg.jp/dbget-bin/www_bget?paf:PAM18_1880",NA,"rn:R00899",NA,357,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry21","56","paf:PAM18_0491 / paf:PAM18_2931 / paf:PAM18_4602","gene","http://www.kegg.jp/dbget-bin/www_bget?paf:PAM18_0491+paf:PAM18_2931+paf:PAM18_4602",NA,"rn:R00251",NA,374,144,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry23","58","paf:PAM18_0164 / paf:PAM18_0359 / paf:PAM18_3564","gene","http://www.kegg.jp/dbget-bin/www_bget?paf:PAM18_0164+paf:PAM18_0359+paf:PAM18_3564",NA,"rn:R01262",NA,195,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry26","61","paf:PAM18_1925 / paf:PAM18_2150 / paf:PAM18_3152 / paf:PAM18_3391 / paf:PAM18_3665 / paf:PAM18_4492","gene","http://www.kegg.jp/dbget-bin/www_bget?paf:PAM18_1925+paf:PAM18_2150+paf:PAM18_3152+paf:PAM18_3391+paf:PAM18_3665+paf:PAM18_4492",NA,"rn:R03522",NA,388,526,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry50","95","paf:PAM18_3019","gene","http://www.kegg.jp/dbget-bin/www_bget?paf:PAM18_3019",NA,"rn:R00115",NA,169,458,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry72","146","paf:PAM18_4610","gene","http://www.kegg.jp/dbget-bin/www_bget?paf:PAM18_4610",NA,"rn:R00670",NA,208,683,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry73","147","paf:PAM18_3359 / paf:PAM18_4882","gene","http://www.kegg.jp/dbget-bin/www_bget?paf:PAM18_3359+paf:PAM18_4882",NA,"rn:R01920",NA,290,643,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry81","155","paf:PAM18_3359 / paf:PAM18_4882","gene","http://www.kegg.jp/dbget-bin/www_bget?paf:PAM18_3359+paf:PAM18_4882",NA,"rn:R08359",NA,237,921,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry94","171","paf:PAM18_1107","gene","http://www.kegg.jp/dbget-bin/www_bget?paf:PAM18_1107",NA,"rn:R00899",NA,307,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry95","172","paf:PAM18_1107","gene","http://www.kegg.jp/dbget-bin/www_bget?paf:PAM18_1107",NA,"rn:R04951",NA,592,536,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
