"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry7","37","bbub:102407424","gene","http://www.kegg.jp/dbget-bin/www_bget?bbub:102407424",NA,"rn:R04951",NA,592,515,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry8","38","bbub:102393603 / bbub:102394617 / bbub:102400276 / bbub:102412993","gene","http://www.kegg.jp/dbget-bin/www_bget?bbub:102393603+bbub:102394617+bbub:102400276+bbub:102412993",NA,"rn:R03916",NA,489,526,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry9","39","bbub:102401218 / bbub:102401699 / bbub:102407351 / bbub:102409369 / bbub:102409693 / bbub:102415716 / bbub:102416485","gene","http://www.kegg.jp/dbget-bin/www_bget?bbub:102401218+bbub:102401699+bbub:102407351+bbub:102409369+bbub:102409693+bbub:102415716+bbub:102416485",NA,"rn:R00274",NA,217,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry11","46","bbub:102404388","gene","http://www.kegg.jp/dbget-bin/www_bget?bbub:102404388",NA,"rn:R03167",NA,217,546,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry12","47","bbub:102406947","gene","http://www.kegg.jp/dbget-bin/www_bget?bbub:102406947",NA,"rn:R03915 rn:R02824",NA,169,546,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry14","49","bbub:102393742","gene","http://www.kegg.jp/dbget-bin/www_bget?bbub:102393742",NA,"rn:R02736",NA,217,511,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry16","51","bbub:102411277 / bbub:102412518","gene","http://www.kegg.jp/dbget-bin/www_bget?bbub:102411277+bbub:102412518",NA,"rn:R00267",NA,169,490,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry17","52","bbub:102395689","gene","http://www.kegg.jp/dbget-bin/www_bget?bbub:102395689",NA,"rn:R00497",NA,458,457,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry18","53","bbub:102413582 / bbub:102416069","gene","http://www.kegg.jp/dbget-bin/www_bget?bbub:102413582+bbub:102416069",NA,"rn:R00894",NA,542,275,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry19","54","bbub:102393603 / bbub:102394617 / bbub:102400276 / bbub:102412993","gene","http://www.kegg.jp/dbget-bin/www_bget?bbub:102393603+bbub:102394617+bbub:102400276+bbub:102412993",NA,"rn:R00494",NA,332,430,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry20","55","bbub:102407424","gene","http://www.kegg.jp/dbget-bin/www_bget?bbub:102407424",NA,"rn:R00899",NA,357,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
