"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry7","37","gcr:GcLGCM259_1386 / gcr:GcLGCM259_1634","gene","http://www.kegg.jp/dbget-bin/www_bget?gcr:GcLGCM259_1386+gcr:GcLGCM259_1634",NA,"rn:R04951",NA,592,515,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry8","38","gcr:GcLGCM259_0229","gene","http://www.kegg.jp/dbget-bin/www_bget?gcr:GcLGCM259_0229",NA,"rn:R03916",NA,489,526,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry14","49","gcr:GcLGCM259_1670 / gcr:GcLGCM259_2639","gene","http://www.kegg.jp/dbget-bin/www_bget?gcr:GcLGCM259_1670+gcr:GcLGCM259_2639",NA,"rn:R02736",NA,217,511,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry16","51","gcr:GcLGCM259_0533","gene","http://www.kegg.jp/dbget-bin/www_bget?gcr:GcLGCM259_0533",NA,"rn:R00267",NA,169,490,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry18","53","gcr:GcLGCM259_2025 / gcr:GcLGCM259_2702 / gcr:GcLGCM259_2869","gene","http://www.kegg.jp/dbget-bin/www_bget?gcr:GcLGCM259_2025+gcr:GcLGCM259_2702+gcr:GcLGCM259_2869",NA,"rn:R00894",NA,542,275,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry19","54","gcr:GcLGCM259_0229","gene","http://www.kegg.jp/dbget-bin/www_bget?gcr:GcLGCM259_0229",NA,"rn:R00494",NA,332,430,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry20","55","gcr:GcLGCM259_1386 / gcr:GcLGCM259_1634","gene","http://www.kegg.jp/dbget-bin/www_bget?gcr:GcLGCM259_1386+gcr:GcLGCM259_1634",NA,"rn:R00899",NA,357,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry21","56","gcr:GcLGCM259_0532","gene","http://www.kegg.jp/dbget-bin/www_bget?gcr:GcLGCM259_0532",NA,"rn:R00251",NA,374,144,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry23","58","gcr:GcLGCM259_0229","gene","http://www.kegg.jp/dbget-bin/www_bget?gcr:GcLGCM259_0229",NA,"rn:R01262",NA,195,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry71","145","gcr:GcLGCM259_1336","gene","http://www.kegg.jp/dbget-bin/www_bget?gcr:GcLGCM259_1336",NA,"rn:R01528",NA,169,511,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry94","171","gcr:GcLGCM259_1814","gene","http://www.kegg.jp/dbget-bin/www_bget?gcr:GcLGCM259_1814",NA,"rn:R00899",NA,307,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry95","172","gcr:GcLGCM259_1814","gene","http://www.kegg.jp/dbget-bin/www_bget?gcr:GcLGCM259_1814",NA,"rn:R04951",NA,592,536,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
